	MT2.141698	CA1.141704	BB2.141659	CO2.141657	TL3.141709	SN3.141650	SK2.141662	CR1.141682	CF3.141691	BZ1.141724	TL1.141653	GB3.141652	CM1.141723	CL1.141697	HF1.141663	PE7.141734	HF2.141686	GB2.141732	CF1.141675	IE2.141655	PE1.141715	MP2.141695	SN1.141681	DF3.141696	BP1.141702	SR1.141680	SP1.141656	LQ2.141729	VC2.141694	HJ1.141718	KP3.141658	HJ2.141717	SK3.141716	PE6.141700	PE4.141683	SK1.141669	MP1.141661	BF2.141708	BF1.141647	AR3.141705	CF2.141679	SA1.141670	LQ3.141712	AR1.141727	SR3.141674	MT1.141719	IT2.141720	CL3.141664	SF1.141728	SP2.141678	IE1.141648	MD2.141689	KP1.141713	PE5.141692	TL2.141706	HI4.141735	SB1.141730	HI3.141676	CL4.141667	PE3.141731	CO1.141714	RT1.141654	RT2.141710	KP4.141733	DF1.141684	CL2.141671	MD5.141688	IT1.141711	AR2.141703	CO3.141651	HI2.141672	DF2.141726	JT1.141699	GB1.141665	CC1.141721	SF2.141677	VC1.141722
TL1.141653	21.83333333	32.58333333	23.76666666	28.05	0.0	32.18333333	14.65	34.7	26.51666666	3.83333333	0.0	29.31666666	35.33333333	34.01666666	26.13333333	81.28333333	26.13333333	29.31666666	26.475	26.83333333	81.71666666	19.16666666	32.18333333	32.66666666	24.88333333	33.93333333	32.13333333	50.33333333	32.73333333	24.41666666	29.53333333	24.41666666	15.03333333	81.28333333	81.71666666	14.73333333	19.16666666	27.05	27.05	96.36666666	26.7	33.26666666	50.33333333	96.36666666	33.95	21.83333333	21.45	34.01666666	33.25	32.01666666	26.83333333	33.73333333	29.53333333	81.26666666	0.0	48.55	34.16666666	48.55	34.01666666	81.71666666	28.23333333	37.16666666	37.16666666	29.53333333	32.66666666	34.01666666	33.43333333	21.46666666	96.36666666	27.83333333	48.55	32.66666666	34.66666666	29.3	23.23333333	33.25	32.73333333
GB3.141652	7.48333333	3.26666667	5.55	1.26666666	29.31666666	2.86666667	14.66666666	5.38333334	2.8	25.48333333	29.31666666	0.0	6.01666667	4.7	3.18333333	51.96666667	3.18333333	0.0	2.84166666	2.48333333	52.4	10.15	2.86666667	3.35	4.43333333	4.61666667	2.81666667	21.01666667	3.41666667	4.9	0.21666667	4.9	14.28333333	51.96666667	52.4	14.58333333	10.15	2.26666666	2.26666666	67.05	2.61666666	3.95	21.01666667	67.05	4.63333334	7.48333333	7.86666666	4.7	3.93333334	2.7	2.48333333	4.41666667	0.21666667	51.95	29.31666666	19.23333334	4.85	19.23333334	4.7	52.4	1.08333333	7.85	7.85	0.21666667	3.35	4.7	4.11666667	7.85	67.05	1.48333333	19.23333334	3.35	5.35	0.01666666	6.08333333	3.93333334	3.41666667
CM1.141723	13.5	2.75	11.56666667	7.28333333	35.33333333	3.15	20.68333333	0.63333333	8.81666667	31.5	35.33333333	6.01666667	0.0	1.31666667	9.2	45.95	9.2	6.01666667	8.85833333	8.5	46.38333333	16.16666667	3.15	2.66666667	10.45	1.4	3.2	15.0	2.6	10.91666667	5.8	10.91666667	20.3	45.95	46.38333333	20.6	16.16666667	8.28333333	8.28333333	61.03333333	8.63333333	2.06666667	15.0	61.03333333	1.38333333	13.5	13.88333333	1.31666667	2.08333333	3.31666667	8.5	1.6	5.8	45.93333333	35.33333333	13.21666667	1.16666667	13.21666667	1.31666667	46.38333333	7.1	1.83333333	1.83333333	5.8	2.66666667	1.31666667	1.9	13.86666667	61.03333333	7.5	13.21666667	2.66666667	0.66666667	6.03333333	12.1	2.08333333	2.6
CL1.141697	12.18333333	1.43333333	10.25	5.96666666	34.01666666	1.83333333	19.36666666	0.68333334	7.5	30.18333333	34.01666666	4.7	1.31666667	0.0	7.88333333	47.26666667	7.88333333	4.7	7.54166666	7.18333333	47.7	14.85	1.83333333	1.35	9.13333333	0.08333333	1.88333333	16.31666667	1.28333333	9.6	4.48333333	9.6	18.98333333	47.26666667	47.7	19.28333333	14.85	6.96666666	6.96666666	62.35	7.31666666	0.75	16.31666667	62.35	0.06666666	12.18333333	12.56666666	0.0	0.76666666	2.0	7.18333333	0.28333333	4.48333333	47.25	34.01666666	14.53333334	0.15	14.53333334	0.0	47.7	5.78333333	3.15	3.15	4.48333333	1.35	0.0	0.58333333	12.55	62.35	6.18333333	14.53333334	1.35	0.65	4.71666666	10.78333333	0.76666666	1.28333333
HF1.141663	4.3	6.45	2.36666667	1.91666667	26.13333333	6.05	11.48333333	8.56666667	0.38333333	22.3	26.13333333	3.18333333	9.2	7.88333333	0.0	55.15	0.0	3.18333333	0.34166667	0.7	55.58333333	6.96666667	6.05	6.53333333	1.25	7.8	6.0	24.2	6.6	1.71666667	3.4	1.71666667	11.1	55.15	55.58333333	11.4	6.96666667	0.91666667	0.91666667	70.23333333	0.56666667	7.13333333	24.2	70.23333333	7.81666667	4.3	4.68333333	7.88333333	7.11666667	5.88333333	0.7	7.6	3.4	55.13333333	26.13333333	22.41666667	8.03333333	22.41666667	7.88333333	55.58333333	2.1	11.03333333	11.03333333	3.4	6.53333333	7.88333333	7.3	4.66666667	70.23333333	1.7	22.41666667	6.53333333	8.53333333	3.16666667	2.9	7.11666667	6.6
PE7.141734	59.45	48.7	57.51666667	53.23333333	81.28333333	49.1	66.63333333	46.58333333	54.76666667	77.45	81.28333333	51.96666667	45.95	47.26666667	55.15	0.0	55.15	51.96666667	54.80833333	54.45	0.43333333	62.11666667	49.1	48.61666667	56.4	47.35	49.15	30.95	48.55	56.86666667	51.75	56.86666667	66.25	0.0	0.43333333	66.55	62.11666667	54.23333333	54.23333333	15.08333333	54.58333333	48.01666667	30.95	15.08333333	47.33333333	59.45	59.83333333	47.26666667	48.03333333	49.26666667	54.45	47.55	51.75	0.01666667	81.28333333	32.73333333	47.11666667	32.73333333	47.26666667	0.43333333	53.05	44.11666667	44.11666667	51.75	48.61666667	47.26666667	47.85	59.81666667	15.08333333	53.45	32.73333333	48.61666667	46.61666667	51.98333333	58.05	48.03333333	48.55
HF2.141686	4.3	6.45	2.36666667	1.91666667	26.13333333	6.05	11.48333333	8.56666667	0.38333333	22.3	26.13333333	3.18333333	9.2	7.88333333	0.0	55.15	0.0	3.18333333	0.34166667	0.7	55.58333333	6.96666667	6.05	6.53333333	1.25	7.8	6.0	24.2	6.6	1.71666667	3.4	1.71666667	11.1	55.15	55.58333333	11.4	6.96666667	0.91666667	0.91666667	70.23333333	0.56666667	7.13333333	24.2	70.23333333	7.81666667	4.3	4.68333333	7.88333333	7.11666667	5.88333333	0.7	7.6	3.4	55.13333333	26.13333333	22.41666667	8.03333333	22.41666667	7.88333333	55.58333333	2.1	11.03333333	11.03333333	3.4	6.53333333	7.88333333	7.3	4.66666667	70.23333333	1.7	22.41666667	6.53333333	8.53333333	3.16666667	2.9	7.11666667	6.6
GB2.141732	7.48333333	3.26666667	5.55	1.26666666	29.31666666	2.86666667	14.66666666	5.38333334	2.8	25.48333333	29.31666666	0.0	6.01666667	4.7	3.18333333	51.96666667	3.18333333	0.0	2.84166666	2.48333333	52.4	10.15	2.86666667	3.35	4.43333333	4.61666667	2.81666667	21.01666667	3.41666667	4.9	0.21666667	4.9	14.28333333	51.96666667	52.4	14.58333333	10.15	2.26666666	2.26666666	67.05	2.61666666	3.95	21.01666667	67.05	4.63333334	7.48333333	7.86666666	4.7	3.93333334	2.7	2.48333333	4.41666667	0.21666667	51.95	29.31666666	19.23333334	4.85	19.23333334	4.7	52.4	1.08333333	7.85	7.85	0.21666667	3.35	4.7	4.11666667	7.85	67.05	1.48333333	19.23333334	3.35	5.35	0.01666666	6.08333333	3.93333334	3.41666667
CF1.141675	4.64166667	6.10833333	2.70833334	1.575	26.475	5.70833333	11.825	8.225	0.04166666	22.64166667	26.475	2.84166666	8.85833333	7.54166666	0.34166667	54.80833333	0.34166667	2.84166666	0.0	0.35833333	55.24166666	7.30833334	5.70833333	6.19166666	1.59166667	7.45833333	5.65833333	23.85833333	6.25833333	2.05833334	3.05833333	2.05833334	11.44166667	54.80833333	55.24166666	11.74166667	7.30833334	0.575	0.575	69.89166666	0.225	6.79166666	23.85833333	69.89166666	7.475	4.64166667	5.025	7.54166666	6.775	5.54166666	0.35833333	7.25833333	3.05833333	54.79166666	26.475	22.075	7.69166666	22.075	7.54166666	55.24166666	1.75833333	10.69166666	10.69166666	3.05833333	6.19166666	7.54166666	6.95833333	5.00833334	69.89166666	1.35833333	22.075	6.19166666	8.19166666	2.825	3.24166667	6.775	6.25833333
IE2.141655	5.0	5.75	3.06666667	1.21666667	26.83333333	5.35	12.18333333	7.86666667	0.31666667	23.0	26.83333333	2.48333333	8.5	7.18333333	0.7	54.45	0.7	2.48333333	0.35833333	0.0	54.88333333	7.66666667	5.35	5.83333333	1.95	7.1	5.3	23.5	5.9	2.41666667	2.7	2.41666667	11.8	54.45	54.88333333	12.1	7.66666667	0.21666667	0.21666667	69.53333333	0.13333333	6.43333333	23.5	69.53333333	7.11666667	5.0	5.38333333	7.18333333	6.41666667	5.18333333	0.0	6.9	2.7	54.43333333	26.83333333	21.71666667	7.33333333	21.71666667	7.18333333	54.88333333	1.4	10.33333333	10.33333333	2.7	5.83333333	7.18333333	6.6	5.36666667	69.53333333	1.0	21.71666667	5.83333333	7.83333333	2.46666667	3.6	6.41666667	5.9
PE1.141715	59.88333333	49.13333333	57.95	53.66666666	81.71666666	49.53333333	67.06666666	47.01666666	55.2	77.88333333	81.71666666	52.4	46.38333333	47.7	55.58333333	0.43333333	55.58333333	52.4	55.24166666	54.88333333	0.0	62.55	49.53333333	49.05	56.83333333	47.78333333	49.58333333	31.38333333	48.98333333	57.3	52.18333333	57.3	66.68333333	0.43333333	0.0	66.98333333	62.55	54.66666666	54.66666666	14.65	55.01666666	48.45	31.38333333	14.65	47.76666666	59.88333333	60.26666666	47.7	48.46666666	49.7	54.88333333	47.98333333	52.18333333	0.45	81.71666666	33.16666666	47.55	33.16666666	47.7	0.0	53.48333333	44.55	44.55	52.18333333	49.05	47.7	48.28333333	60.25	14.65	53.88333333	33.16666666	49.05	47.05	52.41666666	58.48333333	48.46666666	48.98333333
