# QIIME v1.4.0-dev OTU table
#OTU ID	MT2.141698	SA2.141687	CA1.141704	BB2.141659	CO2.141657	TL3.141709	SN3.141650	SK2.141662	SV1.141649	CR1.141682	CF3.141691	BB1.141690	BZ1.141724	TL1.141653	GB3.141652	CM1.141723	LQ1.141701	GB5.141668	CL1.141697	HF1.141663	PE7.141734	HF2.141686	GB2.141732	CF1.141675	IE2.141655	PE1.141715	MP2.141695	SN1.141681	DF3.141696	BP1.141702	SR2.141673	SR1.141680	SP1.141656	HI1.141693	LQ2.141729	VC2.141694	PE2.141725	HJ1.141718	KP3.141658	HJ2.141717	SK3.141716	PE6.141700	PE4.141683	SK1.141669	MP1.141661	BF2.141708	BF1.141647	AR3.141705	CF2.141679	SA1.141670	LQ3.141712	AR1.141727	SR3.141674	MT1.141719	IT2.141720	SV2.141666	CL3.141664	SF1.141728	SP2.141678	IE1.141648	MD2.141689	KP1.141713	PE5.141692	TL2.141706	HI4.141735	SB1.141730	HI3.141676	CL4.141667	PE3.141731	MD4.141660	CO1.141714	RT1.141654	RT2.141710	KP4.141733	DF1.141684	CL2.141671	MD3.141707	MD5.141688	IT1.141711	AR2.141703	CO3.141651	HI2.141672	DF2.141726	JT1.141699	GB1.141665	CC1.141721	CA2.141685	SF2.141677	VC1.141722	taxonomy
144381	4	0	0	1	14	4	2	0	0	0	1	0	4	0	1	0	1	0	1	6	0	0	0	1	2	0	14	11	2	1	0	0	1	0	1	0	1	12	0	1	3	0	0	21	2	1	2	0	2	0	0	0	1	0	4	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	20	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia sordidicola
144752	1	0	0	1	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	k__Bacteria;p__Acidobacteria;c__Chloracidobacteria;o__;f__;g__;s__
146397	2	0	7	0	2	1	2	1	0	0	0	1	0	0	5	1	1	0	4	1	0	1	5	0	10	5	2	2	6	1	1	2	10	0	0	0	0	2	1	7	0	1	0	4	4	0	3	1	0	4	2	2	10	3	5	0	2	2	0	2	0	7	0	1	6	5	5	1	0	0	2	2	0	1	6	1	0	0	2	3	2	1	1	0	6	3	3	1	4	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__;s__
148264	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	2	1	1	0	1	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__;s__
148890	16	0	5	18	25	17	4	19	0	4	0	0	30	10	38	3	0	0	7	4	0	5	2	6	5	1	45	23	5	0	1	5	4	0	0	12	1	41	2	48	16	0	7	25	31	3	7	0	1	1	1	0	7	12	19	0	6	2	16	10	0	1	0	7	4	2	12	3	1	0	20	1	0	0	10	1	0	0	5	0	0	3	13	0	11	3	1	0	18	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__
15008	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	2	1	0	0	0	0	0	0	20	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Sporosarcina;s__
150739	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__;f__;g__;s__
151114	2	0	0	0	0	2	0	0	0	0	0	0	3	1	0	0	0	0	0	3	0	3	0	1	1	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	2	6	2	0	4	0	0	0	0	0	2	0	1	0	3	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	k__Bacteria;p__Acidobacteria;c__Acidobacteria (class);o__Acidobacteriales;f__Acidobacteriaceae;g__;s__
152865	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Microbacteriaceae;g__;s__
154268	4	0	0	0	1	1	0	1	0	0	1	0	5	2	0	0	8	0	10	3	1	6	0	1	2	1	4	0	1	0	0	0	0	0	6	1	1	0	0	0	0	5	4	0	4	13	6	0	0	0	6	0	0	0	0	0	10	0	1	6	0	0	3	0	12	0	0	7	4	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	2	k__Bacteria;p__Acidobacteria;c__Acidobacteria (class);o__Acidobacteriales;f__Acidobacteriaceae;g__;s__
156032	1	0	0	1	0	8	0	0	0	0	11	0	1	22	0	0	6	0	3	10	2	13	0	6	2	12	1	0	1	0	0	0	0	0	16	0	0	1	0	2	3	3	6	0	7	16	8	0	2	0	37	0	0	0	0	0	4	0	8	7	0	0	5	4	6	0	2	1	7	0	0	0	0	0	4	0	0	0	2	0	1	0	2	0	0	0	0	0	1	k__Bacteria;p__Acidobacteria;c__;o__;f__Koribacteraceae;g__Candidatus Koribacter;s__
156545	9	0	0	0	0	6	0	3	0	0	2	0	6	5	0	0	0	0	2	5	0	8	0	1	10	20	4	1	5	0	0	0	0	0	0	0	2	0	0	1	3	1	1	3	3	10	2	0	1	0	0	0	0	0	7	0	4	0	1	4	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	5	k__Bacteria;p__Acidobacteria;c__Acidobacteria (class);o__Acidobacteriales;f__Acidobacteriaceae;g__;s__
157564	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__;s__
157614	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__
157872	4	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Nocardioidaceae;g__;s__
160195	3	0	0	0	3	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	1	7	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__;s__
160908	1	0	0	20	3	0	3	8	0	0	0	0	18	7	1	0	0	0	0	0	0	0	0	1	5	0	21	2	0	0	0	0	0	0	0	4	0	12	0	4	9	0	0	1	28	0	1	0	0	2	0	0	0	1	0	0	0	0	33	0	0	2	0	10	0	0	0	0	0	0	3	0	0	1	1	0	0	0	5	0	0	0	0	0	3	1	1	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__;f__;g__;s__
