pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77
MT2.141698	0.109884339293	-0.194717406781	0.0285995157431	-0.110857817133	0.0484362565991	-0.0279273547877	0.00987829433307	-0.00843855787681	0.0240824108462	-0.0540433938342	0.0590972559683	-0.0729255155954	0.0153089822228	-0.022525915881	0.0438690566106	-0.0454608811994	0.00541091327455	0.13546784073	-0.0242290403067	-0.00693485133686	0.0379657517875	0.00115393502128	-0.00856873952486	-0.0588964337601	0.0844579627233	0.00635607626131	0.0264249038939	-0.0467177646155	-0.0198362136256	-0.00714738663358	-0.0474486745742	0.17209026972	0.00986416118744	-0.0645005705038	-0.0194590673517	-0.0459922251056	-0.0161387532406	0.0742070061489	0.00701913513385	0.0167649192873	0.00479203280818	-0.0269653371936	-0.0201473818098	-0.0307636113921	-0.0178239052578	-0.000161391280431	0.0195362677022	0.0168282575224	0.0328525746595	0.0229159962477	-0.0142486534654	-0.0254213406966	-0.00934890154244	-0.0103549928947	-0.0337057815938	-0.0199865990589	0.00108963057614	0.0954248940983	0.0498022727475	-0.0556073868958	-0.0117466331475	-0.0173290267103	-0.0214866785409	0.119462485201	0.0269301389634	0.0143250589376	-0.00232935936342	-0.0542473564685	-0.0222619076689	0.0451890935143	-0.006236290904	-0.00504186740763	-0.015386684446	0.0129018984134	-0.00905202345033	0.00566492961261	-6.57524753867e-09
CA1.141704	0.255145759865	0.0541640006385	0.100252035688	-0.00529594427526	0.086006249756	0.0106108229385	0.0725431386809	-0.0771912326006	-0.0354873231784	0.0835334884568	-0.00473011442286	0.0125684695815	-0.0102108905471	0.0156833323363	0.0265209442733	-0.0435036733808	0.011796095964	0.047955710904	-0.0409484011215	-0.071539815348	0.0288563626438	0.0777386734179	0.0361869420279	0.045271564094	-0.0738689247357	-0.063380095319	0.0243693389739	-0.00163909090874	-0.0160499476761	0.0223251463765	-0.0320761652635	-0.00724556263946	-0.0585780520183	-0.0425174410896	0.00853534851562	0.0541418741884	-0.0642644404176	-0.00652437307029	-0.0142356390197	-0.0851320504033	0.04893322628	-0.0738172021467	0.0613206194584	0.0344800008325	0.0436189292246	-0.023545144846	-0.0156232540304	-0.0120809520573	0.0198051094435	0.0711778907845	0.0654943490289	-0.0457579193623	-0.0314580289014	0.0455909716878	0.0301077159771	-0.0972421120946	-0.0133987194858	-0.0144858809821	-0.00660152322566	0.0458185675038	-0.00706937069256	-0.0758191980488	0.0891184852686	0.0372784110709	0.0338282833182	-0.0112091644839	-0.029170509795	0.0244740590956	-0.0400906033495	-0.043884399995	0.0101582800913	0.0278194301601	-0.00980229315318	0.00722687767207	0.00576174157564	-0.00445651594543	-6.57524753867e-09
BB2.141659	-0.252517409225	0.0195292212094	-0.00416877869397	0.235145174302	-0.0321695372586	0.049151253011	0.065914422729	-0.0399887268432	0.0558801176423	0.0215479232462	0.0638954676788	0.0538234196102	-0.0423872478198	0.0940717322585	-0.042445605014	0.0623686980673	-0.000890365989598	-0.0668884943001	0.0167422055092	0.00569711539473	-0.00795688237099	-0.00895008820079	0.0726747460833	0.0285667572981	0.0418278934016	0.0240415492015	-0.000844228296141	-0.023020543521	0.0880269882116	0.0184260706012	-0.02867801105	0.0730351072124	0.00591348566463	-0.0108123678637	-0.0127108613879	-0.0485438983636	-0.018753320759	-0.0325637234634	-0.0388988856151	0.0223564576264	-0.0219125352727	0.017672153743	-0.0305581888133	0.0407082882852	0.000111275964302	0.0389352166355	-0.00109943375505	-0.0425556662684	0.00252574333144	-0.0396635155661	0.0080285143454	-0.0205335905556	-0.0270040690031	-0.0247954109887	-0.0542383661468	-0.0204568146737	0.0206665573967	-0.019625301948	0.0205126557448	0.00918858084917	-0.0230907793478	-0.0667902014756	-0.0130103410591	-0.00473041644127	0.0847375935943	0.080704365012	-0.01212996942	-0.0503584379203	0.00988227276344	-0.0209176945111	0.049207313147	0.0450149410302	0.0550056908866	-0.0572742214155	0.0327259223268	0.0196977964455	-6.57524753867e-09
CO2.141657	-0.0095550970166	-0.191888771683	0.0624827910553	-0.00629676380585	0.106226324209	0.0154040479015	0.067585087611	0.0511169830155	-0.141614791729	-0.0307699823971	0.0751035814664	-0.09289132013	-0.088472323388	0.012027207908	0.0524032920123	-0.0768447034405	0.0473842290504	-0.0637004734384	0.0263943399617	-0.0667495530063	0.0225763434597	0.0241369985988	-0.0488028687041	0.011661970155	-0.0465376951598	0.0344867258389	0.0892225498027	0.0575980630167	0.0360178878735	0.0204897938005	0.0309009288826	-0.00829452372283	-0.0480720786336	0.00295843050154	-0.0440254312587	0.0522610249237	0.0546277608933	-0.00628252131352	0.0506053073943	0.0586104217741	-0.0754280515333	0.0125990964243	-0.00763635596428	-0.00283762568212	-0.0655613030507	0.0378844272175	0.0175040945659	0.0331790176251	0.0140324211856	0.000917320571112	0.0939564013957	-0.0400431321806	-0.00310850714841	-0.0472948445266	0.0559987724058	-0.00750538996015	0.00533504829149	-0.00134203912209	0.0300574166983	0.018218172289	0.0386551919036	0.0182885321207	0.039840395589	-0.0189744560704	0.0308883474878	0.0610681963487	-0.0118384441348	0.00180050854282	0.0923041415511	0.0306892134563	-0.0451833953778	0.00227658540684	0.0172760605759	0.013679648059	-0.0188059679333	0.00316574555779	-6.57524753867e-09
TL3.141709	-0.291552503646	0.000429316874481	0.100744383813	0.0682279174984	0.0244278869562	0.0546284661549	-0.0375604865468	0.0918123162599	0.0154969170018	0.104606322097	0.0381073102869	-0.0198845834828	-0.0871088910165	0.0288429812665	0.0471655177125	0.0849894365641	-0.0010493826632	-0.0273591122569	0.00180488116506	-0.00497728340292	0.0527383296194	-0.0486984956977	0.0321333793145	-0.0695732075679	-0.0107514464261	-0.0277056539616	0.0449790449808	-0.0588504297972	-0.0892688590874	0.00754261497289	0.0208090583097	0.0172727901632	-0.064763548541	-0.010532148135	0.102711396326	-0.000247128391289	0.0465000274812	0.036944572099	0.0265474557577	-0.0672001901474	-0.0505812506445	-0.0189452084775	0.0315605330839	-0.018633246551	-0.0112474563803	-0.0712231594346	-0.0409729418924	0.0541249817898	-0.0122145142522	-0.0560572195033	-0.0174057794526	0.0256032877427	0.0127011517413	-0.0420833432714	-0.0203374194458	0.0439293654953	-0.0319661755819	-0.0472048602248	-0.0379114303063	0.00777794626463	-0.0496189431769	0.0858833724518	0.0618074182664	0.0613731015886	0.0272764769783	0.0177583814344	0.000943083856006	0.00586979202819	-0.0358277117511	-0.0168953603039	-0.0513814138998	4.08014820416e-05	-0.0110065920638	-0.0433550135611	0.0110091598562	0.0316829758709	-6.57524753867e-09
SN3.141650	0.0835143605603	-0.0951694993847	0.19518662938	-0.0111646447098	-0.0721185476694	0.0793632351014	0.0604335121388	-0.0358252092605	0.0630031642385	0.0481471804317	-0.0247890342819	-0.00418204146233	0.0431747184118	-0.044812087485	-0.0121917980605	-0.0160141616397	-0.0112023679012	0.114113564393	0.0689175056825	0.164240368697	-0.114730865235	0.00327881260394	-0.0417783347536	0.0400838525019	0.00542064084098	-0.0635668256507	0.0544445611074	0.114048083404	-0.00799752469952	0.0757658685343	0.00144355956983	-0.0226053287729	0.0037257167524	0.0271372550119	0.147088660512	-0.0539404919329	-0.00258524260752	-0.00612923621704	-0.0310203245306	0.0334820279602	-0.0164982351131	-0.026806920066	0.0252152029411	-0.0361962066412	0.0260053294462	-0.0434579572942	0.0303495244539	-0.023970418499	-0.0135366233548	-0.0222449990415	0.0655372875634	-0.0567518151925	-0.038010787053	-0.0337941678613	-0.0267703525672	0.0548454740613	-0.00760447083466	-0.00261948758654	0.0176513366171	0.0603539321345	0.0576769008491	-0.0076336669585	-0.0125928003176	0.0208960125296	-0.0191924052194	0.0348466889211	0.050047026368	-0.00836335212778	0.00201596894369	-0.0116444028441	0.0115320977782	-0.0134452147452	0.00460082177159	0.0190271531464	0.0041980297737	0.000500220458726	-6.57524753867e-09
SK2.141662	0.0502734516965	-0.112304112299	-0.0787691135022	0.140166771326	0.0586844874752	-0.183689396213	-0.0333427619822	-0.0644457988007	-0.09725037342	0.0458814077721	-0.0834197250939	-0.0534404374842	-0.106070021421	0.0196609435226	-0.0714121057476	0.10701699998	0.078199663918	0.0821163562811	-0.126620822568	-0.0456927169372	0.0540353358464	0.0554065666847	0.0161078136657	0.0546990413407	-0.0528298284799	0.0600994569451	-0.0963322691455	0.0384445812724	-0.0641795889219	-0.026168128642	-0.12463248604	-0.0870795264108	0.0169488497123	-0.0322753014757	0.0357498700535	-0.0507229390368	-0.00446356931291	-0.00423310743506	-0.00350775761344	0.0246931137275	-0.127322748573	0.00111037601913	-0.0449314322665	-0.0157565884462	0.0100346432355	-0.0373948425722	-0.0241571320246	-0.023771122204	-0.00707842131265	0.0219547836645	-0.0425481448578	-0.0257610796321	-0.040849035287	-0.00190175899439	-0.0291227047212	0.00914011859636	-0.00368560359488	0.0163399879941	0.0461299479693	0.00406489637763	0.029584357903	0.017203045788	-0.0092428640115	0.00588341236126	-0.0193045671315	0.00488074040397	0.00179668866374	0.00742477557257	0.00234773083756	-0.00977121885622	-0.00586307788632	-0.0274472864902	0.0117185752301	0.00210837229875	0.00614936327083	-0.0205629864323	-6.57524753867e-09
CR1.141682	0.242487540982	0.160222896837	-0.103694099362	0.0393555742761	0.0936471274197	0.0994443352224	0.0264110719854	0.0921219604949	0.0394970740074	-0.0300675672882	-0.0131930775723	0.0286733540202	-0.085301438811	0.0900619057154	-0.0200591450641	-0.0854337409499	0.0500363682706	0.00996733256641	0.091353677429	0.0194672594639	-0.0501145728703	0.0157611787995	0.0521118842066	0.000263067771324	0.0499246422223	-0.0320353949955	-0.0684035101139	0.102034924446	-0.053812964888	-0.000849831080493	-0.0838264759395	-0.031204827424	0.0621759060016	0.0234471695073	-0.0231649112254	-0.0608519505207	0.0529459131841	0.0356694522837	-0.056314059914	-0.0525747125254	0.0342025626194	-0.0252949579479	-0.0393423645819	0.0498038681968	-0.0441979568332	0.0133902566159	-0.087227527996	0.0868961827813	-0.0140219635556	0.0159618908402	-0.0177519295733	-0.039074526177	0.034369832515	0.00221734371077	0.0551482675493	0.0639691300696	-0.0223650880126	-0.0229528519271	0.0568429472948	-0.035422373393	-0.0100553161048	-0.0146432791962	-0.00960814998296	0.0035258487926	0.0451106889418	0.000496452765731	0.0089881761376	0.0494551550186	-0.00303004517295	0.0273636508368	0.0076328010269	0.0423722407042	-0.0337261608399	0.0251099441797	-0.000969317684794	0.0123258854958	-6.57524753867e-09
CF3.141691	-0.384644912476	0.137275064923	0.0305905159565	-0.125930560788	0.177925038402	-0.0343654148841	-0.0295800412088	-0.0149959472171	0.0144127450043	0.00869548204401	0.0670025294642	-0.0813170092352	-0.0117101146844	-0.0699326151491	-0.0913532065408	-0.0388965007446	-0.042877585634	-0.0758597112583	-0.020051788644	0.026616279647	-0.0917141941792	-0.000204108097477	0.0787825923411	-0.0301511657128	0.0278105475105	-0.00238609554376	-0.0246849167316	-0.0021853660742	-0.00475066643926	-0.0286798370185	-0.0284010566073	-0.0253558490605	-0.0171441862848	-0.0104648573829	0.00429672923876	-0.00796062760584	0.0299715607484	0.0010026732112	-0.0100428904087	0.0170252679403	0.0185052214728	0.0307138474198	0.00932844372364	-0.0437999083991	0.00562004717773	-0.054613070315	0.0299907091229	-0.0260608961562	-0.00764788897475	-0.034681504968	0.0172069458592	0.0494951333524	0.00166435317667	-0.0184527999282	0.00436286587641	-0.00622237541505	-0.0107435498354	-0.030380415199	0.0112429938294	-0.00663097287096	-0.00518038041047	-0.0424950315574	0.0183361301154	0.011295070572	0.0291673513785	0.00940216956956	0.00781469916866	-0.0158678284625	0.0039358673421	0.0230601821934	-0.0190241272388	0.0202594119527	-0.0303363554494	-0.00586126339117	0.0326015184353	-0.13961641063	-6.57524753867e-09
BZ1.141724	-0.142484317778	-0.204334873244	0.0631654900574	0.050143519705	0.0438039448891	0.0411061988299	0.0508853714709	0.0153172078072	-0.0731242413721	-0.158620548953	-0.0492960988613	0.0141156510401	0.00727564288445	-0.00866616801552	-0.0411638270022	0.00908223232838	-0.0493173700035	-0.0896850235378	-0.0218004633285	-0.0203351294899	0.0477097312623	-0.0450121501467	0.0209262430944	-0.00242302662634	-0.0434407760409	-0.0110360905841	-0.020716832591	0.0192319094963	-0.053877233865	0.0174072560191	-0.0232880632856	0.0292493979221	0.0193701574957	-0.017480330161	-0.0189790557017	-0.00723326604812	0.000237685048609	-0.0394613990662	0.0204261318528	-0.0403627958896	0.0597186069727	0.0258103281523	0.0385069560854	-0.00909241457844	0.0224858316529	0.0570557601203	0.00773762217713	-0.00587691812395	0.0515745611264	0.00449068238765	-0.020306548914	-0.0148232850706	-0.00148373382524	0.0555737276285	-0.00744954520448	0.0687337393402	0.0329807930117	0.0196352352806	-0.00252955072298	0.0605721110452	0.0322325582131	-0.0164099268206	0.0123851148173	-0.0213313343574	0.00335173808768	0.0125922138201	0.0256417602299	-0.0334390191235	-0.0101704365023	0.00902501717649	-0.0238301590294	-0.0540726059849	-0.0831391555328	0.0110213758669	0.109188016929	0.0301347494014	-6.57524753867e-09
