	Face38.143319	Face32.143355	Face30.143329	Face44.143349	Face17.143354	Face21.143328	Face46.143315	Face13.143318	Face37.143323	Face9.143346	Face10.143341	Face39.143332	Face43.143350	Face18.143342	Face47.143345	Face6.143359	Face26.143322	Face20.143326	Face19.143331	Face8.143357	Face42.143360	Face35.143358	Face12.143333	Face3.143313	Face49.143338	Face14.143311	Face27.143353	Face45.143312	Face23.143337	Face34.143321	Face7.143339	Face24.143324	Face28.143348	Face33.143336	Face15.143344	Face31.143330	Face2.143352	Face11.143343	Face4.143335	Face29.143316	Face50.143317	Face1.143356	Face22.143334	Face25.143320	Face48.143351	Face41.143327	Face36.143314	Face40.143325	Face16.143340
Face10.143341	0.05501884	0.06809588	0.05283578	0.14668832	0.0573139	0.04559022	0.12032842	0.03790794	0.48009594	0.0359907	0.0	0.08516866	0.26278262	0.05928438	0.10974806	0.07076092	0.05495722	0.04357638	0.03038746	0.02863142	0.09292108	0.03725788	0.0396207	0.03388358	0.02714432	0.05420976	0.05506802	0.14655204	0.03976716	0.04270584	0.02640468	0.03652632	0.05826522	0.0583182	0.0387197	0.04859966	0.03907106	0.09714476	0.03597226	0.04699514	0.03439898	0.05215574	0.02766898	0.06052818	0.0811831	0.04013852	0.36160366	0.0494678	0.05349888
Face39.143332	0.0590643	0.1063881	0.0696408	0.18296734	0.08573944	0.10094136	0.14611824	0.08982744	0.4775488	0.09024804	0.08516866	0.0	0.2706792	0.09887756	0.109312	0.1117697	0.10992576	0.1042278	0.0843122	0.096343	0.07597254	0.07244946	0.06950376	0.0861788	0.09783582	0.05978374	0.07536656	0.15068906	0.10140714	0.07231346	0.09565174	0.09070438	0.100999	0.10191546	0.0883494	0.10075572	0.0900332	0.13349322	0.09519136	0.07680468	0.087247	0.10235904	0.08570672	0.11036324	0.07200476	0.07865074	0.36382164	0.09737706	0.10176906
Face43.143350	0.26368866	0.31794386	0.26076712	0.19719878	0.29789576	0.29156044	0.1848422	0.27798332	0.33064228	0.249603	0.26278262	0.2706792	0.0	0.31030612	0.17461564	0.32170442	0.30377444	0.28545888	0.26587452	0.27238812	0.20056734	0.27369654	0.25206984	0.27989484	0.26529994	0.24759834	0.2951676	0.14815254	0.28427874	0.27709922	0.2757353	0.2799021	0.3066392	0.30817862	0.2838524	0.29663808	0.2863868	0.27270918	0.2683892	0.27111968	0.27830716	0.30318996	0.25678412	0.31163272	0.21328388	0.2723117	0.26178204	0.29185162	0.3054627
Face18.143342	0.05417402	0.01092242	0.05633812	0.19704374	0.01708428	0.0339618	0.17491424	0.04496544	0.51350216	0.08232984	0.05928438	0.09887756	0.31030612	0.0	0.14533392	0.01630882	0.01898392	0.04167188	0.0646702	0.05508176	0.11329982	0.05315954	0.07373804	0.03475796	0.06407566	0.08456354	0.02724572	0.18868742	0.03973582	0.0489845	0.0540805	0.03958362	0.01014964	0.00817042	0.02995456	0.02370964	0.02616876	0.12479226	0.07164648	0.04816672	0.03621592	0.01822708	0.06195424	0.01568936	0.1069948	0.04254498	0.40003164	0.03230938	0.01875914
Face47.143345	0.09885982	0.15097966	0.09640028	0.13574658	0.1331306	0.12912064	0.09644	0.12009444	0.41230516	0.10105676	0.10974806	0.109312	0.17461564	0.14533392	0.0	0.1545383	0.1391726	0.12037832	0.10506308	0.11644388	0.0392871	0.11756226	0.10346484	0.11868932	0.1123927	0.09441374	0.13165568	0.05898274	0.12171466	0.11682526	0.11790474	0.11674142	0.139942	0.1415791	0.12278896	0.13103508	0.12359156	0.12794938	0.11354844	0.10670048	0.11865588	0.13923116	0.10552112	0.144586	0.05073072	0.10749234	0.29505656	0.12681326	0.1404381
Face6.143359	0.06767824	0.00886796	0.06561074	0.20814556	0.02906582	0.03887378	0.18662414	0.05595858	0.52024942	0.09071398	0.07076092	0.1117697	0.32170442	0.01630882	0.1545383	0.0	0.01892662	0.04803302	0.07333378	0.06163394	0.1250292	0.06597816	0.08773246	0.04729398	0.0709884	0.09859172	0.03933514	0.20076904	0.0458876	0.06319996	0.05976656	0.04776648	0.01722998	0.01516136	0.0423801	0.03022238	0.03818286	0.12592024	0.08081582	0.05584742	0.04782054	0.02404042	0.07290638	0.01598018	0.11597086	0.0518316	0.41057894	0.0410878	0.02557352
Face26.143322	0.06486038	0.02147254	0.0580906	0.19095478	0.02731704	0.02472832	0.1692916	0.043585	0.51235312	0.07347244	0.05495722	0.10992576	0.30377444	0.01898392	0.1391726	0.01892662	0.0	0.03365212	0.05937472	0.04486792	0.11508266	0.0551055	0.07405644	0.03397648	0.05474982	0.08439658	0.03734952	0.18663514	0.03091498	0.0558207	0.04651286	0.0347261	0.01490256	0.01351622	0.02911716	0.01796504	0.02499484	0.11604094	0.0647328	0.04649352	0.03430364	0.01633536	0.05825892	0.0133518	0.10390852	0.03537534	0.3981592	0.0304991	0.01817362
Face20.143326	0.05902646	0.04498218	0.0496226	0.16535706	0.0435766	0.02111932	0.152596	0.03365804	0.49658764	0.05139252	0.04357638	0.1042278	0.28545888	0.04167188	0.12037832	0.04803302	0.03365212	0.0	0.0488114	0.0270782	0.11020042	0.0451109	0.05847396	0.02659016	0.03511882	0.07122894	0.0442222	0.1703741	0.01662394	0.04629902	0.0360755	0.0243075	0.03730284	0.03696114	0.02863232	0.02695916	0.0251978	0.10552566	0.04507988	0.03665888	0.02408724	0.03632672	0.04044248	0.04026544	0.0944744	0.03199662	0.38319488	0.0298285	0.03649158
Face19.143331	0.0566807	0.07048178	0.04933396	0.1507105	0.05444364	0.05167292	0.12596368	0.03963896	0.47329572	0.041315	0.03038746	0.0843122	0.26587452	0.0646702	0.10506308	0.07333378	0.05937472	0.0488114	0.0	0.03510788	0.09080478	0.04259098	0.0428316	0.04064388	0.03501206	0.05006222	0.05610992	0.14178814	0.0412701	0.04101878	0.0381663	0.03742758	0.06075376	0.05980346	0.04216572	0.05466344	0.04507352	0.10302694	0.04345028	0.04169536	0.040943	0.0586842	0.02823552	0.06315484	0.075883	0.03719702	0.35679032	0.04186706	0.05802046
Face8.143357	0.05963834	0.05859738	0.04998332	0.15586266	0.0540878	0.03177308	0.13196844	0.03095064	0.48425048	0.04167168	0.02863142	0.096343	0.27238812	0.05508176	0.11644388	0.06163394	0.04486792	0.0270782	0.03510788	0.0	0.10225978	0.04093786	0.04784828	0.03182756	0.02365046	0.0598481	0.05577852	0.16016078	0.0243765	0.0417317	0.0232013	0.03110166	0.04837192	0.04890878	0.03488072	0.0363714	0.03449436	0.10475034	0.03286312	0.04097364	0.02968036	0.046673	0.03139324	0.05214016	0.0821992	0.03416054	0.367854	0.03728158	0.04425854
