#/home/wwwuser/user_data/studies/meta_analysis_512/bdiv/tmpOfi92x2QbNLQkP2LMzI6/meta_analysis_tmpS2d36rXRw1ayOTqYAden_otu_table_even500.txt
#OTU ID	Face38.143319	Face32.143355	Face30.143329	Face44.143349	Face17.143354	Face21.143328	Face46.143315	Face13.143318	Face37.143323	Face9.143346	Face10.143341	Face39.143332	Face43.143350	Face18.143342	Face47.143345	Face6.143359	Face26.143322	Face20.143326	Face19.143331	Face8.143357	Face42.143360	Face35.143358	Face12.143333	Face3.143313	Face49.143338	Face14.143311	Face27.143353	Face45.143312	Face23.143337	Face34.143321	Face7.143339	Face24.143324	Face28.143348	Face33.143336	Face15.143344	Face31.143330	Face2.143352	Face11.143343	Face4.143335	Face29.143316	Face50.143317	Face1.143356	Face22.143334	Face25.143320	Face48.143351	Face41.143327	Face36.143314	Face40.143325	Face16.143340	Consensus Lineage
370431	0	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	4	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces odontolyticus
470219	1	0	1	9	3	0	8	2	0	0	2	0	1	1	2	0	0	1	9	2	1	0	1	2	3	3	0	3	2	6	2	4	1	2	2	0	3	0	1	2	0	4	3	3	5	0	1	2	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium tuberculostearicum
471141	1	0	0	1	0	0	1	0	73	0	1	6	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	2	0	0	1	0	2	0	1	1	0	1	54	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa
509660	0	0	1	2	0	4	10	3	0	9	7	0	2	0	1	0	0	2	0	7	1	0	0	4	7	0	0	1	0	1	10	1	1	0	2	1	0	0	3	1	4	3	2	0	1	1	0	0	2	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium;s__
511532	0	0	0	0	0	0	0	0	22	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	13	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus infantis
538741	0	0	1	0	0	0	3	1	0	2	0	1	10	0	1	0	0	0	0	2	0	1	0	2	1	2	0	3	2	1	0	0	0	0	0	1	4	0	2	0	1	0	1	0	1	2	1	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__
576765	0	0	1	5	0	0	1	2	0	0	1	0	4	0	0	0	1	0	5	3	3	1	1	2	3	1	0	0	6	0	0	0	1	2	1	1	2	0	1	0	2	3	1	0	0	2	3	0	1	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__
577720	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	11	1	0	0	1	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;s__Massilia timonae
589787	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	2	0	0	1	1	0	0	1	0	0	0	9	0	0	0	0	0	2	0	0	0	0	k__Bacteria;p__Cyanobacteria;c__;o__;f__;g__;s__
60251	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
63614	0	0	1	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__
86047	0	0	0	0	0	0	2	1	37	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus parainfluenzae
92651	40	6	38	17	15	3	21	8	1	4	3	26	135	6	77	1	2	2	4	3	76	12	18	7	4	15	16	76	4	17	4	10	9	6	11	6	5	1	5	25	8	1	5	0	63	21	2	7	2	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__
108747	0	0	0	1	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	4	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus
111134	0	0	1	0	0	0	3	0	0	0	1	0	3	1	1	0	0	0	9	0	0	5	2	1	1	1	0	0	0	4	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	1	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__;s__
12214	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium lacticum
13424	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__
15343	0	0	0	1	0	1	4	2	0	1	0	0	2	0	0	0	1	0	3	1	0	0	0	0	0	3	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis
18951	0	0	0	1	0	2	6	1	76	0	1	1	5	0	0	1	0	1	3	2	1	2	3	2	0	7	1	4	2	1	3	2	0	0	2	2	2	2	1	1	1	0	1	0	1	0	49	0	3	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae
225259	0	0	1	8	0	1	10	1	0	6	6	0	8	0	2	1	2	1	2	1	0	5	0	1	0	1	0	5	1	1	6	1	0	1	0	0	0	4	2	1	1	0	4	0	0	2	0	0	1	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__Aquabacterium;s__
241879	0	0	0	3	0	1	7	0	0	3	0	0	2	0	2	0	0	1	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	1	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__Paucibacter;s__
