pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115
M9Ekey217.141044	0.168136545592	0.0846409345673	-0.0664758119709	0.0203115288017	-0.0265424497383	0.128919975636	-0.066735444235	0.0464625791589	-0.141170967861	0.0361346170675	-0.118762530217	0.0453583475008	0.00044703669399	-0.0248746847162	0.0738702882463	-0.13068430697	0.0109992118047	-0.0124516187705	0.00155575069852	-0.0039293748568	0.0338722431669	-0.0581438375903	0.0729819976238	-0.00153737682379	0.0258835664361	-0.103252651369	0.0242957078087	-0.0129736552743	-0.0155673091654	0.0317470173476	0.014574456122	-0.0143194802432	-0.0360656347475	0.0327296374158	-0.0491979559608	-0.0346227988419	0.0525705194545	0.0577274278085	-0.0164173068983	-5.09097027334e-05	-0.00299933405663	-0.0323431390041	0.0696673674934	0.00781230286206	0.0144338741716	-0.0567232291075	0.0311011365678	0.027142130761	0.0302048110432	0.0030281351573	0.00870507097457	-0.00567360828631	-0.0279589272245	-0.00453921552098	0.00066377948193	0.00645812153349	0.00834290242326	0.0011611695326	0.0214134074504	-0.01647786663	-0.0142812065386	-0.00729360741194	0.0403560611584	0.00163408569735	0.00910532509132	0.000451781318035	0.0167415563145	0.0322588163513	0.0115034496227	-0.0255793694447	-0.0422219627651	0.0412737395759	0.0224003681794	0.039855716274	-0.0134980616653	-0.00348350056758	-0.00375028392383	-0.00174501880563	-0.0188836008116	-0.00427352414388	-0.00699171508136	0.0321228190854	0.0170953345514	0.00958598946138	-0.0208794353745	-0.00650455326085	-0.00255994629715	-0.00447181125449	-0.0103743408857	0.00664638402228	0.016898449531	0.0215833053802	-0.0108285987067	-0.0091935603251	-0.0100236599011	-0.00259841950407	0.0164331755769	2.22282977689e-05	0.00124984355179	0.00529930591642	0.00660497498829	-0.000154033630673	-0.00546751099509	-0.0222369570247	0.00126186791467	0.00547485503238	0.00269747302577	0.00343885731842	-0.00688557761148	0.00683503288346	-0.00284904980808	-0.00451424923655	0.0037810461901	-0.00475070373825	8.7509357453e-09
M9Indl217.141066	0.040327480208	0.0855975065852	0.214743292377	-0.0989189321065	0.0267114906231	0.0972247586889	-0.0743286021192	-0.114837848365	-0.0422000227651	-0.00900616322344	0.0404335370841	-0.00106968663893	0.00217888723369	0.0135588438501	-0.0632045434535	0.0157275146991	0.0743459111262	-0.0735393419027	-0.0387448672156	0.00261275130802	0.00723811517745	0.0126653118172	-0.00584262375734	-0.0270429970017	0.0156083147261	0.000614325980976	0.0265024164162	0.0135661771608	-0.0106966147625	0.0200109868599	-0.030226706141	-0.0249231307331	0.0186772890259	0.0328921272527	-0.0621074926014	-0.00900454176887	-0.0213819585578	0.0152222918191	0.0230137993404	0.0175180875972	0.000550318513173	0.00503708310416	-0.062790270334	-0.00327763220314	-0.00408264365462	0.027935365763	-0.0136730756373	0.0296833591675	-0.0351345121171	-0.0389707710539	0.0118577657436	-0.0196979109244	-0.0143369109385	0.0245229719996	0.0096592355037	-0.0165427286512	0.00190806348063	0.00114565446066	0.0306659273974	0.00415288650884	0.0149149579788	0.00817242225817	0.00453916417953	0.0192139251659	-0.0249817924601	0.00532412139777	-0.0265957673978	0.050018349487	0.0104138188706	-0.00645192629897	-0.0375492198482	-0.00726037980555	0.0272693294984	0.00255239675727	0.0239504419667	0.00926395656489	-0.0332025862053	-0.0235913299649	-0.00542437476352	0.00494981130136	0.00591462063051	0.00257720569977	-0.0386410330386	-0.00535449236933	0.000767059340136	-0.00859906495087	-0.00986108046514	0.0274462911273	-0.0107606822244	0.0368950063012	-0.00478062903493	-0.00195764821868	-0.0147471664452	-0.00187390767313	0.000675319587072	-0.00434113299539	-0.0285801727933	0.0117536686846	0.01207889377	-0.00531250755873	-0.0188310719967	0.0344353217235	-0.0106966661897	0.00593592159235	-0.00169206922307	0.00100766664735	0.00296721314431	-0.000147280745963	-0.0029742861707	0.0128055868877	0.00292017955386	0.00353325253687	0.00305180400738	0.00292268712724	8.7509357453e-09
M2Tkey217.141054	-0.310679736047	0.00355638904431	-0.0171491534196	0.0465781747414	0.025585486428	-0.0101544071122	-0.0628885888213	0.0165615129402	0.0184931624984	0.00254780828585	0.00269850932667	-0.0234075754204	-0.0101984736516	-0.0526114630028	0.0443506562573	-0.0115148709751	0.0238629807696	-0.00851325686829	-0.0580097725991	0.0522996139789	0.0217434802051	0.0169435875856	-0.037518839664	-0.0113855049845	-0.0726882445923	-0.00615194984987	-0.0229387573823	-0.0490476243123	0.0715770680501	-0.0052327466505	-0.0182252120943	0.0173295376996	-0.00649223667084	0.0249681765753	0.0123994568498	0.00206921784819	0.0101787203997	0.00727771814776	-0.00950541764246	-0.0254134206968	0.0077912152705	0.0340262745689	-0.00969938009671	-0.000846920317812	-0.0233652211879	0.0283440895588	-0.0335076953014	-0.000463263830696	0.00575626271361	-0.04255661204	-0.00773602275326	0.0751327806022	0.0205251272952	-0.0110849523311	0.0104698629539	0.0539867837085	0.0410475117788	0.0235505464027	0.0227233639651	-0.0173182423121	0.0206890482777	0.00371522981777	0.0201495475304	-0.0400931522952	-0.0153633024827	-0.0229171926379	0.00638933934662	0.00419310163322	0.0247264287622	0.0585825941144	-0.0139138224422	-0.0144292404604	-0.000211719892411	0.045977976915	0.0133255419317	-0.00272527248233	-0.0132278801062	-0.0231393616482	0.0293418491127	0.023429291232	-0.0220726834847	0.00800899178995	0.0154009055043	-0.0213762595059	0.0122559588929	0.0479694581545	0.0267928659072	-0.0411012987516	0.000290045343047	0.00452635253567	-0.00744991862161	0.00132598523547	-0.0171211382226	0.00601218987842	0.0126780795983	-0.00371197679021	-0.0010387323847	-0.00873913259214	0.00585533681064	0.0150784019546	-0.0125184592342	0.00291389738534	-0.00618806277709	-0.00940225102676	-0.0169052225931	0.0126467774649	-0.0032440158909	-0.0103537324464	-0.00697317286486	-0.00277167955238	-0.00762012046303	-0.00304646565664	0.00138598758926	0.00359131484119	8.7509357453e-09
M2Gkey217.141106	-0.338760733266	0.0198857668223	0.0951710811294	-0.0202886162046	-0.0373137145143	-0.0791313291554	0.0669832066419	-0.0114571865875	-0.0789808726773	0.000437798685592	0.0438953977572	0.040029436532	-0.0481209683944	0.0165411799286	-0.0210903033605	0.0471294296656	0.0283919208824	-0.0145262325577	-0.0176903256715	-0.00396602549979	0.0140888803732	-0.0170964910967	-0.00950005213325	-0.013827677021	-0.0594390166419	-0.00599373858224	0.00191902143368	0.034167035996	-0.0526404991949	-0.0593260921681	-0.00807401960837	-0.0363430838641	-0.0392175154614	-0.0165815595643	0.0335428458754	-0.0193843378684	0.00552853933867	0.0277773843983	0.021769294927	0.0784307263578	0.017644602449	-0.0301347869888	0.0120320768556	0.0368560256591	-0.0592559995016	-0.00427383951575	0.0116940237159	-0.00139011322664	0.0582385411238	-0.0126397359896	0.0717577813944	-0.0595266456057	0.0328100371158	-0.0304015610162	0.0192306919155	-0.028992477705	0.0134440626074	0.0294968751466	0.0247319235601	0.0116769521804	0.0107818732987	-0.00299491658355	-0.0101512787813	0.0489587182251	0.0242942133937	-0.029420635041	-0.00563038333299	-0.0218437524002	0.0250133229497	0.0229762841253	-0.0367732934357	0.032561205773	0.032420583402	-0.014818061251	0.0166161661063	0.0354856264966	0.0139576155818	0.00519418258515	0.01314057802	0.0028098937585	0.0099481792951	-0.0213566514932	-0.00860328097012	-0.00196561513786	0.010504370995	-0.00694437636863	0.00534236356225	-0.00894526571406	0.0268700634807	0.027010433327	0.0142806788367	0.0351735601457	0.000995171614251	0.0117694750267	-0.0177367058889	-0.0166965911326	8.5794064209e-05	0.00309088990642	0.0157021495064	0.00624416328588	0.00769232488952	-0.0141000813726	-0.00662312939806	0.00624219135199	0.00203867695979	0.00249007509657	-0.0072607096977	-0.00659340680494	-0.00108265955976	-0.00989942942049	-0.00727064192664	0.00185659173732	-0.00266489506574	0.000475385820926	8.7509357453e-09
M2Enter217.141012	-0.292151118282	-0.0415841374511	0.0363801185985	0.101418103836	-0.01120398651	-0.0671353027695	0.0452570803333	0.0232703044637	-0.0204376020866	-0.030431673095	-0.0922199977087	-0.00155731588054	-0.0141936069136	0.0706934621269	0.0197317589439	0.0875910071736	-0.0408228470043	0.0462831114936	0.0696923536967	-0.0312469801956	-0.0427045663029	-0.0603871896512	0.0371181909966	-0.00342973066053	-0.00292362666994	-0.0123131133851	0.0397975763648	-0.0243355018801	-0.024498521656	-0.0449988294663	-0.00479306134896	-0.0222454498739	0.0240062410951	-0.0144588474641	0.015239356738	0.00869939620785	0.0438887022485	0.061213336455	0.0322340957999	-0.0294560486535	-0.0316588672873	0.013924220108	-0.0260492371169	-0.022732075025	0.0358179555448	0.0634581935088	0.0117133382237	0.00579393086029	0.0206067641428	-0.048261622415	-0.0408901447762	-0.0292802948257	0.00382415822407	0.0122203143034	0.0547133686479	0.000977667103265	-0.0122653854885	-0.0477123393147	0.00869237878102	-0.000811774755444	-0.0353688015054	-0.00301864509751	0.0120080166931	0.00664662653487	0.0388350029943	0.0249548483117	0.0218106384085	0.0327319711188	-0.0577036496992	0.00852489494099	0.0128864725313	0.054885094638	0.0190745328953	-0.0123508629279	-0.0330098403581	0.0387023083295	-0.00758380440317	-0.00459982754589	-0.00432753245352	0.0073475297801	0.014422111905	-0.0177752022924	-0.00672354563138	-0.0124372686967	0.00592638877305	0.0429320872186	-0.0228814060713	-0.0163104659669	0.000193024415517	-0.00677456424425	-0.0168248706253	-0.00243055642649	0.029744606353	-0.0140244070813	-0.0013604660085	-0.00316913214537	-0.00453508113081	-0.00441428222083	0.00194679826654	-0.00387525913767	-0.0235255004209	0.000735345259854	0.00487335997358	-0.00829301186845	-0.00196520520992	0.00546776286162	0.00416771605398	-0.00663241606331	0.00177254941357	0.00449958379913	-0.00104110045057	0.00290932383621	0.00549788880911	0.00121465336307	8.7509357453e-09
M2Skey217.141089	-0.301687453061	0.00303406268215	-0.0335220473505	0.0429021190164	-0.017303860045	-0.0329036026048	0.0212477610033	0.042758264916	0.101955068792	0.0380661526938	-0.0170761161265	0.0428208353619	0.0333122584216	-0.0194249433238	0.0446988405796	0.00463769834697	0.066180720618	0.000431995150213	-0.0140360041965	-0.0367560886397	0.0565822434885	0.0114384280826	-0.00515572643943	-0.0261014196937	-0.0321544615918	-0.0535187107752	0.0335192841547	-0.0958460423255	-0.0119967325512	-0.00215776208569	-0.00201570182378	0.0692176983854	-0.091815483129	-0.0653874988677	-0.00214787060384	-0.0393873694055	-0.00209315859873	0.0152963821172	0.00675852766932	0.0128431087578	0.023185969146	-0.00520499660065	0.0532102065852	-0.0304018762558	0.0136523922822	0.019168953874	-0.0478920203354	0.00352883535184	-0.0348180847798	0.0010457736826	-0.0214189236488	-0.00759340137268	-0.00250653766867	0.0282513854042	-0.0174668946874	-0.022356063894	0.00224875873319	-0.0454488399617	0.0193563442506	-0.0248297347523	-0.00515522447186	-0.0284803392138	-0.0274494601904	0.0106658065369	0.0537112095467	-0.0120264929857	-0.00442055216682	-0.00601779758143	-0.0146482191936	-0.0180259655935	0.0198100340828	0.0140392551411	-0.0265488480664	-0.0177120601021	0.0491228826022	-0.0128973714951	-0.0355921820626	-0.00115890087952	-0.00104445990846	-0.00215983410576	-0.030335893441	-0.0323571865095	-0.0162720044891	0.0116240454521	0.00815711006547	0.0254636639317	0.0173973534122	-0.0025727553868	-0.00800013981159	0.00752262143056	0.0245066632263	0.0039957344895	-0.00517973983357	0.031274420678	-0.00352006168377	-0.00783551278031	0.00278795394455	0.0175564299312	-0.00828152221147	-0.00690821271388	0.0211821698906	0.0128475554118	0.00716412628359	0.00387723032346	0.00868466934678	0.000236938475111	0.0118885120019	0.00391295007654	0.00120687618072	0.00722315408451	-0.000464606365621	-0.00626003877778	-1.52053914063e-05	0.00527146782048	8.75093574531e-09
M2Midr217.141082	-0.209531764416	-0.0310330599373	0.0955491638863	-0.0585059645818	0.0597394548479	0.0593789579689	-0.0156966310229	-0.0524991180402	0.0346718249313	0.0265597511497	0.127705611448	0.00789211564576	-0.003033546539	-0.000586662632235	0.0552933304029	0.0353924470584	-0.0307226842651	0.00671886826846	0.0207641510504	-0.0604291884045	-0.0262238640745	-0.0484013140774	-0.0391868638865	0.0138965662291	0.00674052917008	0.0313686410271	-0.0260554094523	-0.0137650999965	-0.0398495105061	-0.0290153123386	-0.0168456368446	0.00523799461172	-0.0659092931231	0.0403948604235	0.0290532393027	0.00480865536075	-0.0461691911026	0.0486452508315	0.00199961172383	-0.051545871559	0.00478421668534	-0.068429595787	0.00895851709357	0.0423322147279	0.00247586372595	-0.0517486059219	0.0202282129173	-0.0289435393684	-0.0176819362734	0.0106432396448	-0.0181852071839	0.0314251301424	-0.0127796304599	0.0391647838302	-0.04404794843	0.00740225048588	0.00265812428844	-0.0248544128801	-0.0247185871081	0.00938436873123	0.022467546108	-0.0103569070105	0.0358228284014	0.0166364058345	0.0123738820445	-0.0225278002175	0.0112094263428	0.0259898897902	-0.0136574160703	0.0226876008406	0.0129829920144	0.0305164795007	-0.0771075879562	-0.0284439677541	-0.0119560460834	-0.0074661492147	-0.0216411795116	0.01238973557	0.00738371151191	-0.0158636564531	-0.0121843911751	0.0249361906003	-0.0153327080066	0.00112396678426	-0.0213381960778	-0.00445549523053	-0.0237047796242	-4.29881575486e-05	0.00136868216463	0.00460277630919	-0.015637789404	0.00234917317055	-0.0319172257631	0.0121834036032	-0.013506393227	-0.00501120845326	-0.0113017612424	0.00678529033211	-0.00337912224956	0.00203949310961	-0.0213774124904	-0.0137816836423	-0.00912726957045	0.0066613870247	0.00388657054874	0.00730243949896	-0.00186557818275	-0.00936455596336	-0.00630312786278	-0.00619297962337	0.00422161739295	-0.00418307807936	0.00545510987835	-0.00616557280567	8.75093574529e-09
M2Indl217.141074	-0.269342330938	0.0185208597883	0.0123934183109	-0.059301008931	0.0430288313852	0.0318885189814	-0.0321951604911	-0.0506843248802	0.0183960361291	0.0196799177596	0.0875234351605	0.0191233557714	-0.0136102842578	-0.067113536241	0.0806376183856	0.0228473308909	0.036871880525	-0.056807525849	0.00627385492967	0.0727388875862	0.036621129859	-0.0290941253393	-0.0420547116794	0.0227886965405	-0.0426049150733	-0.0266554715752	0.00741561973741	-0.0426335248098	-0.0145567949549	-0.0287482050807	-0.0120531229131	-0.0208090427943	0.0287052760864	-0.0507957554561	-0.0106432700618	-0.0018420813188	0.05301297854	-0.0372996649302	-0.0757572948054	-0.0209293700613	-0.0513224588631	-0.0215812237628	-0.0189052473271	-0.0637059887377	-0.00231338459491	-0.034852131479	0.0267853085894	0.00438969024187	0.0114319602787	-0.00788407025234	0.0102460021606	0.00107901536008	-0.00997877542458	0.040257619071	0.0109559882225	-0.0305186821215	0.0553970221822	-0.0337142178861	0.00693241325909	-0.0242933819344	-0.0066153344367	-0.0295534979192	0.000819801641834	0.0104902559334	0.0128423516817	0.0161797122794	-0.00911750591028	0.00495112890124	0.00297758182658	0.020524272411	0.0261873369437	-0.0322112060028	0.00389932601619	-0.022805171973	0.00163577774681	-0.0188847236817	0.0181481572183	0.00737403521167	-0.0408239472384	0.0371397817779	-0.00449184645292	-0.00778220915879	0.0140817532778	-0.0057443962796	0.0298996508244	-0.033315935914	0.0248381572615	0.01968870219	0.0269957373414	0.01899086264	-0.0148343652977	-0.00468592706234	0.03176592202	-0.0347101840299	0.00202354579179	-0.0128526572329	0.000418237656015	0.00701576823444	-0.0257105144338	0.0136973947071	-0.00288219082804	0.00196598080449	-0.00669059027813	-0.0102584583539	0.00440094975069	0.0048417431113	-0.00152520386566	-0.00137631218799	0.000189783631649	-0.00331936660045	0.00257062485757	-0.00304764000715	0.00157686990427	-0.00477201767554	8.7509357453e-09
M3Midr217.141101	0.0171970900033	-0.232085662394	-0.0110583152854	-0.00351719004951	-0.00830593422216	0.0504696474085	-0.0273990953661	-0.0535806320176	0.0376862307327	0.0761556297297	0.00425101514409	0.101171416429	-0.034801198229	0.00321031481789	-0.00314800599638	-0.000401387777897	-0.0611078855278	-0.0465125299793	-0.0137842127651	-0.0145365162551	0.09333467759	-0.00191013330344	0.0371903620133	0.0708037742366	0.0415552743261	0.131456703435	0.00202804051165	0.0549445782807	0.0179585445206	0.03238566187	0.0149162428584	-0.0434638223887	-0.0529014308159	0.00147405819345	-0.0693985000817	0.0212861287501	0.0135334916461	-0.0585357014629	-0.0347723226906	0.0198227454679	0.0332672321177	0.0145993850893	0.0419137506461	0.0228342606131	0.0249576647098	0.0236646089907	-0.0379795711363	-0.0412149026654	-0.0039896097161	-0.0374319294167	-0.0217094593544	-0.027926914625	0.0669195292814	0.000196931835572	-0.0397692572306	0.0111955155203	0.0550442907432	-0.0447526121331	0.0151506315945	-0.0400500145757	-0.00162268616125	-0.0486584244115	-0.0461286729176	-0.0175774226614	0.0223715452496	-0.0116139621062	-0.000755758124472	-0.0143728743249	0.0312392492455	0.00294542749548	-0.00228480153683	0.0551596581111	0.0169229704568	0.039766398498	-0.0173167120592	0.00503779885516	0.0225533308354	-0.00537091748013	0.0133106696735	0.0115315496664	-0.00211148680929	0.00271909250788	0.00902606870331	0.00752840370261	-0.0159249714713	-0.0101390747647	-0.00736946759471	0.0163660752063	0.0126000942946	-0.000958898589706	-0.00500218138613	-0.0241597754785	0.0081320828629	0.00363482139547	-0.00610101747687	0.0113533177727	-0.0122702047037	-0.00787567785965	0.00789748000842	-0.00819835989421	-0.00993230745837	0.000126563558417	0.00115263705636	-0.0019589517191	0.00308014674711	0.000305696020181	0.000835020554928	0.000181485382864	0.00256527488082	-0.00205980846594	-0.00140297714055	-0.00255060267582	0.00381991901986	0.00186394230471	8.7509357453e-09
F11Space217.141071	0.0867221231233	-0.154761759103	0.0844748158628	0.114957036539	-0.0927682756937	0.0232675404924	0.128534612838	0.0769908468503	-0.0180337059436	-0.0302360427925	-0.0366248612835	-0.000197541475083	-0.0508706115448	0.182754247771	0.0953435460463	-0.0311039582488	-0.0345432708575	0.0563312058459	0.0651348330541	-0.00754208998965	0.0893820039745	0.0358153110591	-0.0783529619469	0.0304241299416	-0.0415778699739	0.05449380159	-0.071517094236	-0.036260716308	0.035238154567	0.0405393499206	-0.0108207094236	0.00206603423696	-0.0113290248833	-0.00486186587651	-0.016713469274	-0.104584149121	-0.0036314278198	0.000258356778121	0.0251858506151	-0.0203389225926	-0.084184918623	0.077702192033	-0.0176173750485	0.00564447758957	0.0137480214345	-0.0640891575583	0.013114008232	0.00287960617091	0.0224321331408	-0.0383320705815	0.0280419804545	0.00204230525674	-0.0321965694816	0.000137789930434	-0.0138978164272	-0.0397077554365	-0.0482401742152	-0.0158162566816	0.0181254639124	-0.0387963238481	0.0618835846259	0.00885755828787	-0.0232017745078	0.0230665115908	-0.0435094908827	0.0159094795197	-0.0134645096564	0.0128440062237	0.0125018230446	0.00950363660077	0.0188802475546	-0.00186332787101	0.00606689447667	-0.00236795246117	0.00738843909357	0.00215094446022	0.00269915903568	-0.00895185059188	-0.0128047154647	0.00562064985412	-0.0118917418184	-0.00588322908121	0.00369728723105	-0.0216216866292	-0.0146995620692	-0.0245385401019	-0.00438642493011	-0.00367366072953	-0.00935212382925	-0.00887350430005	-0.0073457981449	-0.00146785150421	-0.00479509519212	0.0123049152674	-0.00437501416378	-0.0092848672608	-0.0048538794796	-0.00182234282959	-0.00459027351889	-0.00364852571426	-9.0131612387e-05	-0.00229301239007	-0.00616759405963	0.000142596109211	-0.000847609659349	0.00489072707499	-0.00083925021005	0.00432282547894	-0.00185170876412	0.000754740249364	-0.00468962537859	0.00331491301466	0.000267523328001	0.00156626523535	8.7509357453e-09
