Sum Adj.R.square
0.01 836 0.441629690675592
0.05 800 0.44055727081326
0.1 758 0.358797210709282
0.15 716 0.211476590349039
0.2 671 0.171925165260567
0.25 633 0.222892185160819
0.3 586 0.133118750296317
0.35 549 0.0574504278182246
0.4 493 -0.0638573555644475
0.45 463 -0.0895258229620912
0.5 416 NA
0.55 368 NA
0.6 336 NA
0.65 288 NA
0.7 240 NA
0.75 208 NA
0.8 160 NA
0.85 112 NA
0.9 80 NA
0.95 32 NA
0.99 0 NA
