Phylum Class Order Family Genus OTUs_completeDS OTUs_wholeDS
0.01 NA 0.988518448048689 0.99539116098865 0.991633805221922 0.99475810726102 0.999347176887284 0.999347176887284
0.05 NA 0.95568230793218 0.953911665957421 0.95625401820653 0.984370499037299 0.994048197791513 0.994048197791513
0.1 NA 0.888557549991391 0.929156330273855 0.93216006770449 0.981299583985271 0.982686297659559 0.982686297659559
0.15 NA 0.719498363215639 0.886491467409217 0.807328933590978 0.964776658170084 0.970246145994493 0.970246145994493
0.2 NA 0.654157129610731 0.84045848074453 0.772875123464625 0.950676236868721 0.959149940968123 0.959149940968123
0.25 NA 0.571525109790306 0.836026360783969 0.714149662809478 0.915043069830446 0.955663587749149 0.955663587749149
0.3 NA 0.648776824669398 0.773991686840725 0.195816270380002 0.856453887801844 0.970435446906035 0.970435446906035
0.35 NA 0.181265587120236 0.719829645782743 0.292322428957915 0.755406648643311 0.955538579067991 0.955538579067991
0.4 NA 0.239050290819306 0.274358804674374 0.404811284989227 0.417540230727428 0.941537606778248 0.941537606778248
0.45 NA NA 0.289538092837611 0.217217635754012 0.480242164837038 0.935419126328217 0.935419126328217
0.5 NA NA NA NA 0.226226631556189 0.926085144801722 0.926085144801722
0.55 NA NA NA NA 0.182564624441666 0.914341273699562 0.914341273699562
0.6 NA NA NA NA NA 0.897678480587645 0.897678480587645
0.65 NA NA NA NA NA 0.886439636228819 0.886439636228819
0.7 NA NA NA NA NA 0.871535054662785 0.871535054662785
0.75 NA NA NA NA NA 0.822660433293599 0.822660433293599
0.8 NA NA NA NA NA 0.774990628092607 0.774990628092607
0.85 NA NA NA NA NA 0.749270561845111 0.749270561845111
0.9 NA NA NA NA NA 0.713067493329283 0.713067493329283
0.95 NA NA NA NA NA NA NA
0.99 NA NA NA NA NA NA NA
