pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
Face38.143319	0.0187552831516	0.000100372597882	-0.0304444053002	-0.017527602976	0.00851108235847	-0.00403586107631	0.00298762155624	-0.00700484744148	0.0146525376114	-0.00489189377206	0.00429508493891	-0.00487842246695	-0.0207945073133	0.00259299940711	-0.00109752111768	0.00746881248974	0.00014543952611	-0.00855687518041	0.00559844533403	0.0011131533914	-0.00314296253743	0.000813159578972	-0.00600403526838	-0.00165645290943	-0.000247672111202	0.00576095514424	-0.00290662391728	0.000635670617816	8.5819195207e-05	5.09108456319e-05	0.000100962709976	0.000817811334339	0.000699250067984	0.00454041433298	-0.0020425438994	0.000525640742786	0.000618719594274	-0.00142476087022	0.000139588311607	-0.00066157247826	0.000820300282396	0.00032485116813	-0.00010275929602	-0.000353390248482	0.000561374936651	-0.000339398235315	0.000386155842257	-6.94601584067e-06	-1.56321272495e-09
Face32.143355	0.0661265487872	-0.0301845250901	-0.0086322328181	0.0109662253765	-0.0043039252619	0.0119382879856	-0.00195462598109	-0.00965982149032	0.00159764039551	-0.00163825042371	-0.00206716574273	0.00274959949178	0.00550870887218	0.000141182856788	-0.00475204708426	0.00610111051729	-0.00744423775319	-0.00201117589453	-0.000102696074081	0.00084918648447	-0.00426255387987	-0.0046807773117	0.00318936404306	0.000779999916388	-0.00127409487308	-0.000623569600699	-0.00305157206106	0.00295319759401	-0.00233119243035	-0.000545084780511	-0.000317825963683	0.00241382620511	0.000650862473269	-0.00164061979868	0.00296902730063	0.000709830146332	-0.000165034888275	-0.000576034960749	0.00094920925356	-0.00151417515075	6.93994359632e-05	-0.000800851629832	-0.000586851560167	-0.00130707231975	-0.000106307785295	0.000886996976631	0.00249655002262	5.09543245173e-05	-1.56321272413e-09
Face30.143329	0.014095191612	-0.0040248872313	-0.0208319131089	-0.00558558826244	0.00368407506765	-0.00151650902891	-0.002340236294	-0.00195698285061	0.00547439878644	-0.00405553859376	-0.0007182449925	-0.0124752328762	-0.0074721825629	0.00284081052245	0.00215635590947	0.00601129355864	0.000412730467878	-0.00514879464725	-0.00161344878697	-0.00596883624276	-0.0027202156338	0.00128179575509	-0.00200924432963	-0.00769764877768	0.000464405176371	-0.00472722044065	0.00297514752565	-0.00210242078724	0.00153220479584	-0.00524898091046	0.000623253296542	-0.00127948307806	-0.000892185452623	-0.00609357848948	0.00192661727103	-0.000729023159991	-0.00161688947656	0.00147560342502	0.0012699279349	0.00059138610059	-0.000325322090137	-0.000297884331611	-0.000659999516909	-0.000366117120563	-0.000527579759166	0.000778603555277	-0.000671413774007	-1.11009684556e-05	-1.56321272501e-09
Face44.143349	-0.0824247073758	0.0682394424073	0.0873496348701	-0.00246884913966	0.0223028523004	-0.0147093110076	0.00588030941153	-0.0268043956645	-0.0188802534655	-0.00795411383229	-0.00564380058513	0.000203636647618	-0.0120268610868	0.00273358489948	-0.00925382543956	0.00299986383993	-0.00368829056922	0.00288351671666	-0.00356608917328	-0.000179031557323	0.000633111448834	-0.000328917514284	0.00238035277685	-0.000233289184941	-0.000539220161116	0.0012616949043	0.00020893972246	0.000684960078766	0.000698367156467	-0.000312823492708	0.00024232588745	0.000116296389551	-0.000612863417675	-0.000489665869311	0.00010874949946	0.000204034314252	-0.000489774171498	-2.53262537042e-05	-1.10446261201e-05	-9.9936457985e-05	-0.000181572809169	-0.000103481258514	3.57828112656e-05	-1.27921433451e-05	-1.73190007485e-05	-7.88462493725e-05	-4.29992366575e-05	5.59314192823e-07	-1.56321272485e-09
Face17.143354	0.0481186974404	-0.0187087631626	-0.0111051511004	-0.00241726732754	0.00732321836295	0.00529285405917	0.00198266186112	-0.0153730604531	-0.002413801875	-0.00510367773129	-0.000278733888156	0.0061263523407	0.000779595319434	-0.000950707521221	0.00932479392056	-0.0032854551629	0.00067677089786	-0.000848644922286	-0.00401819920244	-0.00403407234257	-0.00212607490969	0.00685281919424	0.00676074934125	0.00177668980467	0.00300840209115	-0.00296736350463	-0.000635906704014	-0.00087418289129	-0.00101232666807	-0.00176883625947	-0.000955629207685	0.000850130511573	-0.00418756520091	0.00172558567194	-0.00269791077027	0.00138765543617	-0.00084444547468	-0.00173374138501	0.00142215799107	0.00123464965019	0.00154680664746	0.00161856214433	0.000491625205132	0.000242586754346	0.000421999502593	0.0010967211731	0.000778525363327	-7.41369512221e-05	-1.56321272592e-09
Face21.143328	0.0425680546674	-0.0150368356895	0.00591932676147	0.0134758354051	0.000873777299076	0.00249772228689	0.00151269616612	0.00186033392747	-0.00428078406358	-0.000131689530698	-0.00241623589317	-0.00649318671375	0.0047707642474	0.00224930905047	-0.000728736314577	-0.00191476600404	-0.00119097911748	0.00530540297882	0.00339494664237	0.00520861497813	-0.00423367780284	0.00124357699765	-0.0030459448633	0.0013539126774	-0.00665391562699	-0.00162119880808	0.00394524487801	-0.0015806353745	0.00121268715905	-0.0058415126888	0.00210818692428	-0.000208792181819	-0.00114887374615	-0.000174661196398	-0.00516100819477	-0.00381589121731	6.24421543795e-05	0.000697164556751	-7.7427605609e-05	-0.00147412598924	-0.00120344398591	-0.000232999242789	0.000646476720468	0.000255090092183	0.000940830192291	-0.00102386305447	0.00116119818703	-1.78449984946e-05	-1.56321272511e-09
Face46.143315	-0.0762773477175	0.0626677973168	0.0401844733914	-0.0252935100013	0.00518474577948	-0.00687163377266	0.00903437891035	-0.0133592699215	0.0394777957087	-0.00318012721858	0.000560021073372	-0.00148989673983	0.0203215887174	-0.0018299772218	-0.00141203208157	-0.001521496878	0.00353392205371	-0.000435082948591	-0.000545921431275	-0.00064844320533	-0.00238572278818	0.000418578221021	-0.000311994943711	-0.000715120848741	-0.000705573502857	0.00110675416521	-0.000557265322911	-0.000541012725814	-8.90101459468e-05	-0.000207462253596	-0.00016369233534	-0.00077557526802	0.000350657394297	0.000126800167853	-0.000139916280061	-0.000115319491966	-0.000179672088176	6.36218529835e-05	0.000176390679636	-8.13216365113e-05	-5.14464916307e-05	-4.78289956346e-06	-7.52889098215e-05	0.000112930644748	6.62639979859e-05	0.000100472850233	1.77291247739e-05	1.0330805189e-06	-1.56321272484e-09
Face13.143318	0.0279821495387	-0.00939346708216	0.00692887007824	-0.00225824241706	0.00886964965636	-0.0100683586418	0.00958144371749	0.00789968593669	-0.0139024973805	0.00558185808305	0.00994105436135	-0.00282965182903	0.00882357937354	-0.00534651373192	-0.00324832596666	0.00262877027579	-0.00250539834777	0.00409154799401	0.0060887481462	-0.0038861474112	-0.00670620288378	0.00852442970456	-0.00101366586841	-0.000169204939365	-0.00291662530952	0.00121438146679	0.000666016275457	-0.00316518885794	-0.00209226294098	-0.00193648792256	-0.00042297874526	-6.90143239398e-05	-0.000584482208922	0.00249101612381	0.0030656841899	0.000207056929375	0.00265476048486	-0.000525044111321	-0.0020471578114	-4.55240747609e-05	0.0022558377366	-9.88707628362e-06	-0.00202962527064	-0.000572301866789	-0.000200380885272	0.000286996230327	-0.000615984641435	1.67588423351e-05	-1.56321272461e-09
Face37.143323	-0.446783159516	-0.0944442986155	-0.00845234543445	0.027718097128	-0.00489439177016	-0.0246840535487	-0.0241327137247	-0.014751055723	0.00348430969498	0.00285532706551	0.000698106054439	8.98569020451e-05	-0.000415938566567	-0.00808602111054	-0.000276734892687	0.000365795656688	0.00294372354465	0.000251639417312	0.000113466276562	0.00020110842172	-0.000595216878187	-0.000206936723127	0.000468354587348	0.000747560414957	0.000120860938759	0.000465014078242	-1.29907862866e-05	-0.000581546726434	0.000283526366402	-5.04363553015e-05	-1.5663049561e-05	-9.52479474504e-05	0.000247021612618	0.000115401392945	0.000145623266067	-0.000291261089901	0.000102704539932	-7.41863016499e-05	-1.7717902143e-05	-3.44527126818e-05	-0.000122255915025	-4.34484775443e-05	-0.000120875566018	5.33773939359e-05	2.39135698135e-05	-6.07231663502e-05	4.29584292633e-06	-1.26171803252e-06	-1.56321272487e-09
Face9.143346	0.00453293515409	0.017036437675	0.0226178303975	0.00636557234011	-0.00350703043496	-0.000441556258817	-0.0214914187398	0.00449192260779	-0.00181603363802	0.00774021192334	-0.00976717842023	0.00700151926172	0.00237750756438	0.00747105132851	0.00651824777114	-0.0082570829038	-0.00508005211518	0.000510046302385	-0.0020404167846	0.00404711326357	-0.00752457296471	-0.00155803172096	-0.00783594275187	-0.00769512434126	0.00289155899944	0.00369111714551	0.0044397267386	0.00206740848265	-0.00158668458373	0.000954480099066	-0.00182021697253	0.0030357762943	-0.00139202653458	0.00066475804241	0.000717208700912	0.000411912096259	0.00168054003724	0.000293118581707	0.000698724857906	0.0010827085923	0.00105631638091	-0.000204401442456	0.000605145646028	-0.000233453658434	-0.000519455984248	0.000126444952703	-1.702830852e-05	-2.08877427195e-05	-1.56321272515e-09
