pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
Face38.143319	0.359045726356	0.118711012041	0.0175120494536	-0.0765031535292	0.0868698168521	-0.0879832074297	0.0449189984262	-0.118691978051	0.0159811702126	-0.0198340583888	0.0521486207092	-0.0374986808506	0.0687072824013	0.152678825652	-0.00122040080037	-0.0147354974733	-0.00335076558437	0.0293009409097	0.00042438645325	0.024891355903	-0.027389956862	-0.0929228795237	0.0928350955955	0.0512200032408	-0.0317716325243	-0.0248702129102	-0.0103873161022	-0.00195063232947	-0.0163901445484	-0.0266507476393	-0.00735307763337	0.048825927128	0.0206429844215	0.0162713593327	0.010256320152	-0.0301218822007	-0.0190885776048	-0.00431798097524	-0.00559757081602	0.00245597320447	0.0147798916161	-0.0320179249733	-0.00161211701771	-0.0121422884675	0.00593932357639	0.0130420169746	-0.00127648974171	-0.00173257061163	-6.82968070209e-09
Face32.143355	0.42406203164	0.232312258703	-0.0251965357418	-0.0333768668923	0.0438565453446	-0.196005622184	0.0558499075975	-0.0218218754431	-0.134855406797	-0.0493963124759	0.108839727891	0.0415650633695	-0.158837059181	0.021033879658	0.0475342093817	0.0306984655129	0.0186105769811	0.0453477777911	-0.0306598718963	-0.0320367631452	-0.00788416122687	0.113929878622	-0.0562221251965	0.0201276922436	-0.00726730211722	0.0040331497875	0.0664563081562	0.00698173690879	0.00731430265269	0.0196330901246	-0.0188112064832	-0.00840737915957	-0.0154164504148	0.0174988002356	-0.00587847560858	0.00788304162249	-0.0168107461561	0.010903885373	0.00434280500267	0.0177007427525	0.00466242262297	-0.00953388027245	0.00626011924276	0.013195916849	0.00301055298989	0.000377039151881	-0.00247513466922	0.000264719845038	-6.82968070209e-09
Face30.143329	-0.0375806280616	0.184885809404	0.182155631688	0.118215180607	-0.122546924432	0.128910508772	0.130027835069	-0.0322914296527	0.0364203446297	-0.00218916423886	-0.0732200713128	-0.00842316667654	-0.0432324272802	0.0711530797158	-0.0364393920166	0.0800354605388	-0.0420916601729	0.000887158254238	-0.0386955933639	0.00848555995033	-0.0232305629314	-0.0410403027528	-0.0379003283915	0.0193941734066	0.00246173427091	-0.0537128217058	0.0601334494015	-0.0309752187406	-0.0200618335324	0.0142554233657	0.0290418963149	-0.0187735198954	-0.0112515120289	-0.0466118346651	-0.0388275654861	-0.00434466285066	-0.00823744063336	-0.0133157209172	-0.0192923921914	-0.0388336904082	0.0155099500291	-0.0135811996549	0.019275960799	0.00375293654687	-0.00708433549154	-0.00480699556982	-0.00444253421713	0.0025149825987	-6.82968070209e-09
Face44.143349	-0.271915376867	0.108122394742	-0.0219206578776	-0.086803299052	0.024386675886	-0.0497624016991	0.0321240665264	0.0317808443435	-0.16004850144	0.0638365331562	0.0295955790993	-0.151360096193	0.0144388327893	-0.0514086033732	0.00244179177736	0.00686720797149	-0.120859553459	-0.0735419371779	0.0737322678775	0.0289756391337	-0.0810142097912	0.0646174300565	0.0323432337446	0.045340058139	-0.0406002971	-0.0288244918587	-0.0529147995643	-0.0104573723508	0.0417164662209	-0.0346994827167	0.0326430972111	-0.029760116912	0.0296423998154	-0.0188357925876	-0.0158209599381	0.00294190690968	-0.0250058384404	0.00155838522461	0.0171135063491	0.000829282692126	0.00391464306174	-4.59637976806e-05	0.0025754472201	0.000245753280398	-0.00255018752791	-0.00256299935127	-0.00236071977079	0.000198291668607	-6.82968070209e-09
Face17.143354	0.421852255362	0.191498398045	-0.0263124665822	-0.00648501555623	-0.00668406460362	-0.0678209334758	0.00663052019537	-0.00819123020149	-0.0236610161261	-0.0109337343406	0.0488895306724	-0.0224627947749	0.0129591262706	0.0305425916781	0.0205624647331	-0.122905026833	0.0307945223335	-0.0139077750809	0.00122750052057	-0.00199267833969	5.94840506662e-05	-0.0468703941521	-0.043698604927	-0.0882849416453	0.00559673503461	0.0367836761475	-0.0821979143349	0.0448613435384	-0.00270999697041	0.0341064710811	0.0470268592772	-0.00757299162822	-0.0137911026781	-0.0641770965481	-0.0362823938035	0.0146049201165	0.00902825944149	-0.0100686488099	0.020635096721	-0.0155119843119	-0.011025127659	-0.00815875203619	-0.0144077356015	-0.00416587916551	-0.00478666991888	-0.00368845466431	0.00454166682684	0.000151976823259	-6.82968070209e-09
Face21.143328	-0.179172860949	-0.0196250984014	-0.0679882555707	0.0372597867835	0.233519682349	0.111917642777	0.144714718495	0.0716842430281	0.0131273861832	-0.0540248277331	0.145104857248	0.000827600341892	-0.0440524656816	0.0448478770216	0.0304818494818	0.0917151039206	-0.00423197219365	0.0216691669201	0.0317736467921	-0.0537674483725	0.0143108020698	-0.0332045043951	-0.0327369154887	-0.0339152811115	0.0636955244495	-0.00962589465956	-0.0438066174597	-0.0236853045457	-0.0318355131845	-0.0490325483448	0.0537574807884	0.0189053321814	0.0100359762842	0.0206434510799	-0.00949044146013	0.0213037824879	0.01150272346	0.00345021564701	-0.00516528898359	0.00307731940398	-0.0292258956425	0.00912493361393	0.0251300028739	0.00696832951337	0.00219174205836	0.00434450326305	-0.000217136958306	-0.00239625437203	-6.82968070209e-09
Face46.143315	-0.12390577076	-0.187779045224	0.0173795915093	-0.114598693664	-0.0454544291569	-0.116839967186	-0.0322637833071	0.0319782884039	-0.051605301965	0.0366604453588	-0.0267258030053	-0.00642400952236	-0.00169245877221	0.0792906644043	0.037683405901	-0.0618985628429	0.0269696246318	-0.0618154647141	0.0211215928943	-0.104956776621	-0.1180698134	-0.0296777210611	-0.0196745479493	-0.0494685927927	0.0222995700599	-0.0919757942809	0.0233813433631	-0.00110115813989	0.0148030432624	0.0517597308227	0.0142191342614	0.0158841410241	-0.0118501659299	0.0143076638316	0.0097312905176	-0.000764987508852	0.00495183100322	0.0106690258542	-0.0485906064885	0.00708154985998	-0.00022198661468	0.0207803305638	-0.00899370393233	0.000386086077495	-0.00978207174445	0.00152760321355	0.00203184771977	-0.00124765067882	-6.82968070209e-09
Face13.143318	-0.125765129831	0.0116115450494	-0.220702174621	-0.0527928582802	0.0285708612688	0.120801549769	0.000935619074631	-0.033679245625	0.0839829670971	-0.0788033159711	0.0829571648017	-0.0348807164242	-0.0500816370483	0.0534224120538	0.00747072920769	0.0295103905128	-0.0551165615421	-0.0206091615158	-0.00134475593611	0.0331114465071	-0.0511880842956	0.00177786581043	0.0196498413448	0.0151652298506	0.0373552102462	0.0145726443494	0.0136477545957	-0.00542989398183	-0.0544823526706	0.056458419084	-0.0667048992452	-0.0389275608935	0.00541653425521	-0.0263414107048	-0.0234694075383	-0.0281062999125	0.0019571727768	-0.0319804629981	0.012165720528	0.0275269674275	-0.0014788843748	0.0334670558917	-0.0257702237441	-0.00771656435803	-0.00686311352589	0.00598350524953	-0.00136355816464	0.000159085197551	-6.82968070209e-09
Face37.143323	-0.19163161015	0.30107062982	-0.227823765567	0.226940838729	-0.0137717933215	-0.0764205014539	-0.0279214582615	0.0785345766532	0.0792431170811	0.0787144460484	0.00568858005897	0.0282795227385	-0.00986420848155	-0.0965028784283	-0.0243424410511	0.0431377191671	0.068161128189	0.0228731181301	-0.0276544668946	0.003439098649	-0.0386765243227	-0.0381236243347	-0.0231911509015	-0.0411286808362	-0.0249783246165	-0.0268094969884	-0.020052091887	-0.0506110612597	-0.0105504159655	0.00826924285442	-0.00235707684614	0.00770432600718	0.0139729592814	-0.0216218917388	0.0430230744926	0.00340439661527	-0.0165621913456	0.0224675621579	0.0103856037562	0.0212177096437	0.0399461832975	-0.00531787225382	0.0057184179452	-0.00685708340227	-0.0125015898702	0.00607446093597	0.00311710574984	-0.00174734928295	-6.82968070209e-09
Face9.143346	-0.236486025952	0.0592248152058	0.14810982303	0.015675228616	-0.0658188458088	-0.0922659934163	-0.0564019820138	0.0974843941119	-0.0298502326393	-0.0706162157695	0.0234025857484	-0.0603161569644	0.0855485660403	0.0613447798108	0.00718191588616	0.0394085640508	0.0571126601923	0.0542519714371	-0.067450722346	-0.0706482987432	0.0198840284937	-0.0552933511922	-0.0150607799488	-0.0370321600481	-0.0697030019054	0.0655116502077	-0.0126525188892	-0.0296983491627	0.0319676112694	-0.0294836561802	-0.0212144528677	-0.0695120736536	0.0135629118116	0.00621207154392	-0.0138896143221	-0.0188443385618	0.00742051304915	0.0101036808048	-0.0132656319692	0.0138818574433	-0.0174681978674	0.00557378523384	-0.0122980178048	0.00340153740534	-0.000235162969502	0.00322011288367	-0.00950670364712	6.20965707006e-05	-6.82968070209e-09
