pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94
Stillton4R2	-0.0182561864545	0.100274421016	-0.0250867885906	0.0645739141159	-0.0393041939593	0.0551141235777	-0.0392414789064	0.00794537388074	-0.00738278386113	0.0355555100735	-0.0224648558073	0.0270189367057	-0.0217648570497	0.0313632876792	0.00946883819362	-0.011236305282	0.016097457928	-0.00645143984346	-0.0238866721472	0.0150163608317	-0.0175719054309	0.00468207384274	-0.0135682117353	-0.00535395644537	0.0270297685961	-0.00147396735898	0.00162111535526	0.00681178190319	-0.0072347512027	-0.00451406951154	0.022959519579	0.0037616608703	0.00728687723467	0.000651382191714	-0.0115642193647	-0.00758925325063	-0.00197291416602	-0.00808584544515	0.00539184067649	0.00178271097126	0.00256601318354	0.000140861737011	0.00472606485799	-0.00206687407144	-0.00314745116749	-0.0036068617957	0.00335244505116	-0.0058059711265	0.00940025522037	-0.00758522734301	-0.0208402560634	0.0087132974702	-0.00109482464112	0.0082203628153	0.0130813217839	0.00929663007019	-0.0101570454599	0.0044162636144	-0.00275158290245	0.00381706434643	-0.00257338376532	0.00483186836006	-0.0019049459185	-0.00251493482796	-0.0104741403516	-0.00146137175031	-0.00684742180567	-0.00219453341321	-0.00263414873566	-0.00879214963165	0.00673404830161	0.00506168962238	0.00660498894595	0.00108539834245	2.62071736061e-07	0.00205059807172	0.0035340283194	0.00394099720216	0.00328031394829	0.000507635966609	0.00050079300809	0.00213448771171	0.00219531016787	0.00128181317116	-0.00266141925542	0.000872015582939	-0.00115493557749	-0.00236738360684	-9.47326106015e-05	-0.00100397943275	-0.00200057555215	-0.00038210839892	-7.83055151081e-05	-3.65294242624e-09
Stillton4R3	-0.00372029308943	0.137342035547	-0.0688576590564	0.0611714399885	-0.0285783906593	0.0423819051197	-0.0405191268776	-0.0122621527008	-0.0163059062944	0.0233361195967	-0.0040428607716	0.0209205311025	-0.0318350733418	0.0129622978764	0.005731055333	-0.0147307862256	-0.00292775288296	0.0053110359113	0.00554856594257	0.00138601505858	-0.00546565582989	-0.00327829504339	0.00142300674401	-0.00153905025509	0.0073097524007	0.00562883218501	-0.00136986465086	-0.0150985477916	0.00834392790822	-0.0087981858241	-0.017656897466	-0.00619769602932	-0.0043325627814	-0.00805246259373	-0.00953432630027	-0.00174044818261	0.00929600419094	0.00374709797926	0.00323386183543	0.0166996052529	0.000892997886037	-0.0134694346488	0.00131505093949	-0.0128290261341	-0.00209212117981	0.0109196892746	-0.00517318689486	0.00321730530155	0.00208494270915	-0.000830993581061	0.00980954018203	0.00297853004124	-0.00460238837527	0.00326268157951	-0.0050191202382	0.00503670108281	0.00293718220337	0.00249654196675	-0.00198315593537	-0.00695283160719	0.0132206576841	-0.00791293961818	-0.00426499579107	0.00641685224932	-0.00542017921836	-0.00455344682592	-0.0076882592934	-7.20285890303e-05	0.00224731633027	0.008325623414	-0.00504153970202	-0.00684390968299	-0.00386365938222	-0.00333840141884	-0.0055509352904	-0.00533028802158	0.00713211819405	0.00484521890707	-0.00825632109546	-0.00320749757088	0.00155007600919	0.00359887302841	0.00453045573546	-0.00122961726997	-0.00392622918968	0.000867490124925	0.00170183907793	0.00104694558926	0.00110813604464	-0.000981761984776	0.00253878212657	-8.0038192599e-05	-0.000284941640455	-3.65294242623e-09
Stillton4R1	-0.0154284822661	0.1420881029	-0.0274879543667	0.0540091033078	-0.0165480521772	0.0481568001605	-0.0456813864285	-0.00520443181178	-0.00334467043826	0.018488979874	0.00828303874775	0.00592521559912	-0.0446950879541	0.0113946875602	-0.0129515184268	-0.011993246477	0.00771917459753	0.00390035998662	0.00049685898223	-4.87645747804e-05	-0.00273539492373	0.00133539525877	0.000941539535714	-0.0057829616278	0.0182212904517	-0.00356556151137	-0.00260241974377	-0.0130478483257	0.00670915364543	0.00577817400016	-0.00191804766243	-0.0203410968776	-0.00460619691782	-0.00380887606074	-0.00930595841686	0.00770589146237	-0.00675481907828	-0.00861404604766	-0.009460817407	0.00631660879951	-0.0035179814903	-0.000113459054702	-0.00507458499841	-0.0136820509624	0.00409461608413	0.00820930496592	0.00203438955688	-0.00748371074704	-0.00863441643188	0.0064613001701	0.00930089201428	-0.000756357658678	-0.000896970433361	0.00301358759062	0.00376263503563	-0.00798965422182	-0.00226450378749	0.00438724446323	0.00233576183924	-0.00367650255911	0.000187807154001	0.00246724726058	0.00247435729139	-0.00401256340912	0.00300729757041	0.00844188117735	0.00451466560383	0.00644909591451	-0.00172566450707	-0.00324239664366	0.0036487489002	-0.00618343630554	-0.00452885338757	-0.00446241507964	0.00316712632072	0.00583073167718	-0.0144365872541	0.00203851882343	0.00782410168664	-0.00469692924527	-0.000954971157953	-0.00508759430431	0.00193650825811	0.00319541038323	0.00400323300803	-0.00317716440868	-0.000943820659991	0.00226978901081	0.00102552375342	0.00308909998822	-0.000792362279028	0.000163802760009	0.000494074451793	-3.65294242624e-09
HCanyon3R3	-0.00731935417827	-0.00540969518634	0.0723911354622	0.0221751186482	-0.0649841262411	0.0118479097187	0.0175231648728	-0.0318467130086	0.0114209090709	-0.00873101169514	0.0290423121363	-0.00470734021374	-0.0119507917851	0.00431354968184	0.0216102930077	-0.00187874223544	-0.00796534749016	-0.0162713611915	-0.00813483414814	-0.00275679763574	0.0191922535472	-0.00101550950861	-0.0196288488206	0.00023494129735	-0.0110912398495	0.0103916133627	0.0109106268564	-0.000731852812874	0.00896722923346	0.00883880516566	-0.00558151034717	0.010217769297	0.00843432670823	0.00589307096391	-0.000517823487406	0.00288755014794	0.00517390090522	0.00295432027444	-0.00597337179892	-0.00223279908562	-0.023240842455	0.00766817258878	0.00713664952929	0.00138710758683	0.0058387104086	-0.00160141125874	0.00357762792102	0.0133722838234	-0.00458807438402	0.0106223521759	-0.00599623254442	-0.0064776068733	-0.0105641045802	-0.00590343228887	0.00110393340071	-0.00269688307811	-0.00608655135163	-0.00151890786737	0.008181109431	-0.00107434965989	0.00207269303115	-0.00364068762448	0.00843255883333	-0.000150556863001	-0.0107450202811	-0.00580907152056	0.000130959718287	-0.0108745961459	-0.00673837114155	0.00337658671816	0.000526548486974	-0.00876226741236	0.00287948999668	0.00131274450595	0.0045595805047	0.00640431267162	-0.00253312651064	0.00107765820997	-0.000865009167149	-0.00148612415445	-0.00353079789772	0.00104965549575	-0.000828110578291	0.00182685246453	-0.00739321273276	6.19106446386e-05	-0.00285698839674	0.00363527039309	-0.00113650190378	0.00156091907513	-0.00123313664964	0.00162788404061	-0.000897439625833	-3.65294242624e-09
HCanyon3R2	-0.0256142144925	-0.0253791453498	0.07938882164	0.0298669959613	-0.0608210150104	-0.0154267907818	0.035463749118	-0.0324896225742	0.0270606132296	0.00503122234822	0.0140222820026	-0.00621027424823	-0.00847953873352	0.00311428849575	0.0237233626288	-0.00218335334761	0.00262253715025	-0.00315618063674	0.00130374244371	-0.00468551643073	0.0110702464465	0.00180017824698	-0.0122559028293	0.00573086215372	-0.00209587507664	0.00611695183873	0.00717399755415	0.0112009219153	0.00991111725939	0.00158760285383	-0.0218159920027	0.0013178413151	0.0112475926694	-6.9284716962e-05	0.00659020303824	0.0107898562785	0.00962780402624	-0.00380989085619	-0.0135682543514	-0.00399301701637	-0.000808136631085	0.00756249098162	-0.0124747561405	0.00187271796914	0.0131196675398	0.0054851006356	-0.00330607503971	-0.00873778125668	0.00284689090441	-0.00198158925373	-0.00416577486837	0.00298835878985	0.00192563119073	-0.00310889213018	0.00102250977641	-0.00137707889101	-0.00341698128942	-0.00518517878827	-0.0103473656405	0.000530459773371	0.0033778205029	-0.00345549237387	-0.00556876168224	0.00771595804485	-0.00311043324464	0.00262955379291	0.00421638115988	-0.00141449378339	0.00355699413145	-0.0125837787045	0.00125601237849	-0.00153661341233	-0.0012057739513	-0.00353424678631	-0.00342135960027	-0.00202357409578	0.0135939588552	0.00508319135381	0.00514256301099	-0.0063131948595	-0.000793850120291	0.000376341406493	-0.0032686118102	0.00363337228988	0.00771335165402	0.000405220449942	0.0026645016003	0.00256988927148	-0.000960558597717	-0.000659460953919	0.000468181183321	-0.000608388979987	0.00068457673276	-3.65294242624e-09
HCanyon3R1	-0.0115207737838	0.0246366395485	0.0915191948732	0.02777351967	-0.0424855978147	-0.00164622018767	0.0333529418456	-0.073603075084	0.0190548673066	-0.0107755365136	0.0196270424034	0.0240209198112	-0.0248958909683	-0.0297299354229	0.0137678196976	-0.00611780559995	-0.0243276178838	0.0059520456399	-0.00530020627036	-0.00392230509604	0.00128404428913	-0.0111945824158	-0.038792731128	-0.0114078798874	0.0159204560816	0.00723385959518	-0.00369672523197	-0.000229212297543	-0.00914213633528	0.00461211975169	-0.00576022878343	0.00381395623611	-0.0067193316993	0.0116007969185	-0.00310195430779	-0.013315219815	0.0106467974932	0.00250222596545	0.00592673048743	-0.00663728782726	-0.0101737010221	-0.00266991803454	0.00609441204027	0.00505171083607	-0.00754812979459	0.000774594595757	-0.000209108547997	-0.00722504688744	-0.0114601103682	0.0079318104552	0.00541586040903	0.0137619430802	0.00305140388707	-0.00196114617703	0.0022665544477	-0.00134009495788	-0.0051978345382	-0.00890908897343	-0.00262599759292	0.00165095898128	0.0077416341834	0.00569568228245	-0.0095080770104	-0.00397773396507	0.00559380990512	-7.28667384548e-05	9.19437427771e-05	0.00520546119265	0.00372957428266	0.000598540997419	0.00816790602248	0.00487658866223	-0.00684093440202	-0.00218174228564	-0.0011856582113	-0.00526376841949	-0.0066170656314	-0.00464912221988	0.00132510830316	0.0060684904194	-0.000742897958296	0.00524468236423	-0.000359134331122	-0.00296257144777	-0.000266621077428	0.000809652874654	-0.000346486427037	-0.00284918907556	-0.000515336751574	-0.000361473908885	0.0020398823872	-0.000390173870284	-0.000811060259482	-3.65294242623e-09
Halls9R2	-0.10703452729	-0.130098486617	0.0385998834993	-0.0235825695979	0.0136234464086	0.0386468308606	0.0475251579463	0.0428868704187	0.0408610747111	0.00932969047644	0.00629121250758	0.00889625626354	-0.00197012041606	0.000426361990622	0.0241988121288	-0.012540462153	-0.0133907008701	-0.00550462487726	0.00583956805766	0.00979052098942	-0.00915149229181	0.00298282047046	-0.00184225953067	-0.0107098549381	-0.0140988113293	0.000230689291443	0.00891154011497	-0.0298892361022	0.00258354810727	-0.0253686715484	0.00633741304605	-0.00159637427814	-0.00296444542832	-0.00139493968345	-0.00757951002484	-0.00362139333494	-0.00866123103414	0.00271898294787	-0.0154782349137	-0.00688081836988	0.00155643773038	-0.00937010296574	0.0076921020866	-0.00736303208989	-0.00955756152536	0.000273878089415	-0.00231295843632	-0.0069338478948	0.00435322354775	0.000940699453178	-0.00582273162767	-0.00804808326515	-0.00680624197948	-0.00476121021153	0.00391398484135	-0.0174033482351	-0.00897349911348	0.00874663500331	0.00279306398736	0.00806247521166	0.00916897651361	0.00151098265686	-0.00347501564936	-0.00273411632075	0.00515620662919	-0.00335897170103	-0.00167562162806	0.00798753341871	-0.00285981083063	0.00397499698285	0.000134404718213	-0.00129147391979	0.00670500340928	0.00293552383694	0.00680209305529	-0.00673577253085	0.00505988023112	-0.00147855009191	0.00159794393987	-0.00459160342167	-0.00246103028022	-0.0042251665937	-0.000137649603018	-0.00227369852426	0.0017626534411	0.00327037536869	-0.000843866914198	-0.00224915783397	-0.00284579187774	0.000123841728394	0.00153335565572	0.000944133997973	0.000448137655167	-3.65294242624e-09
HCanyon2R2	-0.0496717053803	0.0426946756595	0.077704640538	0.0352476007722	0.00111884450091	-0.025300389829	-0.00299918012578	-0.00710632029826	0.0413126289593	0.0132178427595	0.00859425013278	-0.0129412891807	-0.0227546727596	-0.0109845467501	0.00230009276766	-0.00420161761781	-0.00755809301744	-0.0163700765603	0.0205933857796	-0.00716430877566	-0.00949330857973	-0.00041606663645	-0.00671958957357	-0.00521888764786	-0.010718219202	0.0146782571745	0.00478791798307	0.0142414526721	-0.0115523979261	-0.0150007451721	0.00447126091984	0.0117013935027	-0.00652871336169	-0.00719647520514	-0.0114958415294	0.0196432459469	-0.00408253427009	-0.0193235652636	-0.00125193225603	-0.00443251072281	0.00564567997425	0.00197049718165	-0.00386071726356	0.00674834323454	-0.00686838611417	-0.00310467443376	-0.0170408842397	-0.0082351775855	-0.00682408759779	-0.0158492985911	-0.00306443028847	-0.0122965755044	0.0104267942907	0.0121119203427	-0.00839063937123	0.00429227946741	0.00783325160848	0.00437130096401	0.00252391804789	-0.000731780605923	-0.00498944135298	0.0104049988993	-0.00655268712733	0.0032976279849	0.0114618693186	-0.00332553481977	0.000530253099975	-0.00200430053344	-0.00341080621799	-0.00154923740687	0.000261252832263	-0.0063517005507	-0.00345882525591	-0.00245067853346	-1.08023356467e-05	0.0016988546646	-0.00119513102004	0.00283686803622	-0.00487899388299	-0.000678641495727	-0.00486957387258	0.000302845805862	0.00379488681347	0.000995053730567	-0.00269325985074	-0.00102724671783	0.00148981546043	-0.000704285330026	-0.000668996369552	-0.000524086481302	-0.00210843956497	0.00163684554889	-0.00127481103246	-3.65294242623e-09
HCanyon2R3	-0.0197333833155	-6.59299628982e-05	0.081004241675	0.0422601325756	-0.0507798006981	0.00615360976094	0.0320337959903	-0.00803141269345	0.00239166143358	0.024588791923	-0.00626894343441	-0.00124453853686	-0.0105413044971	-0.0357516636358	0.0143230213756	-0.00142420494002	-0.0219477172967	0.00628192361395	-0.0165581952837	0.0131328079186	-0.00425525618569	0.0215858342557	-0.0014749135632	0.0180292392514	-0.0192743757558	-0.0048949677841	0.0113665095027	0.00855260014178	0.00359460159981	0.0131180020359	0.00275305628194	-0.00611809873788	0.0077021804692	0.0050919865128	-0.00375429882791	0.0124793618639	-0.00830093202583	-0.000264391329701	0.00243823978338	0.00467588835832	0.00973077900356	0.00351761042978	0.00149390975034	0.00018570276967	-0.00789772687807	-0.0102223010583	0.00484069768803	0.00365686401818	0.00187230711217	0.00159385001225	0.00387282719662	0.00245774356536	0.0142113650682	0.00878830632729	-0.00161322057021	-0.00995415447343	0.0030140866386	0.00280610297769	-0.00618044625836	-0.00270482234181	-0.000569042140973	0.00189972548771	0.00399385979519	0.0026370361572	-0.0122281727651	0.00742698198399	-0.00462101885901	0.0026296293921	0.00753551105965	0.00998537479632	-0.0079575857694	0.00114669305394	-0.00496485283525	0.00425463994519	0.00392227177336	-0.000934571944451	-0.00153934823192	-0.00279954142058	0.000197012660616	-0.00123773547019	0.00370265833152	-0.000799533707144	0.00490346900823	0.00518134888581	0.00119992651869	0.00473316991379	-0.00425096284021	-0.000897075994044	-0.00132671957705	-0.00186048349775	-0.00227499444106	-0.00219156773281	-8.95869221361e-05	-3.65294242624e-09
HCanyon2R1	-0.0337703768648	-0.051110992467	0.0687801990774	0.0291351051732	-0.0561517567233	0.00557466898032	0.053592603764	0.000831434949811	-0.00166390893296	0.0117952734257	-0.00738350934093	0.00137269213941	-0.00515480283717	-0.0373861503523	0.00158923584887	-0.00549799534335	-0.00706893171536	0.0145936887329	0.000167074146613	-0.000815032274564	0.0113848589733	0.0205611042599	-0.00782683185258	0.0159539788725	-0.00583573248573	0.00219189919542	0.00892472217687	0.000272194063514	0.00264552731909	0.00546557902183	0.013768414632	-0.0166336076437	0.0215050864641	-0.00799062832278	-0.00976440942629	0.00561677828355	-0.00410234137501	-0.00162625369858	0.0114532186912	0.0064375538898	0.0140855352377	-0.00620600060579	0.00282302091746	-0.0103114218136	0.00789099931957	0.00486746553714	0.00261522355221	-0.0023592621129	0.00997652642713	-0.00566333105027	0.0069504014844	0.00885160802358	0.00867934649465	-0.00284078634963	0.00605278954897	0.00622557276999	-0.000783011473997	0.00654087687592	0.00345603910606	-0.00827458515643	0.00179122830882	-0.000819786667828	-0.0038120856026	0.00232967487232	0.00452972164042	-0.00752167370097	-4.48615086666e-05	0.00136498396248	0.00211778840775	0.00226781199691	-0.000960109006396	-0.00170591509181	0.00941750823619	0.00341932538797	-0.000909839896147	0.00550265964238	0.000221460819176	-0.00372354499546	-0.000604823598304	0.0079106228528	-0.00276993668979	0.000907572588747	-0.00604710867095	-0.00338352017339	0.000482883282072	-0.00447245605826	0.00253136540672	0.00237521193172	0.00157925411733	0.00293024329499	0.00044829121839	0.00266515471784	0.000977362675458	-3.65294242624e-09
