Sum Adj.R.square
0.01 262 0.0607504356301245
0.05 250 0.0398610804298021
0.1 236 -0.0415968542417287
0.15 225 -0.0115165986685493
0.2 200 -0.108757478498054
0.25 186 -0.120186146337391
0.3 171 -0.102004289987185
0.35 171 -0.102004289987185
0.4 156 -0.110196172040687
0.45 141 -0.12258919715642
0.5 126 -0.161724251504741
0.55 111 -0.0480257232663366
0.6 96 NA
0.65 80 NA
0.7 64 NA
0.75 64 NA
0.8 48 NA
0.85 32 NA
0.9 16 NA
0.95 0 NA
0.99 0 NA
