Sum Adj.R.square
0.01 415 0.0893867020173793
0.05 397 0.098421705655552
0.1 378 0.1255863399833
0.15 353 0.140936866831575
0.2 328 0.100412655277092
0.25 310 0.081901095518403
0.3 290 -0.00783432946029561
0.35 268 -0.031243936606119
0.4 244 -0.0823765856072065
0.45 231 -0.139400644036587
0.5 203 -0.0835579232483896
0.55 188 -0.0573454473299224
0.6 158 -0.0480257232663361
0.65 143 -0.0480257232663361
0.7 112 NA
0.75 96 NA
0.8 80 NA
0.85 48 NA
0.9 32 NA
0.95 16 NA
0.99 0 NA
