Sum Adj.R.square
0.01 157 0.0440110349085459
0.05 148 0.00653176386410237
0.1 133 0.045932693035014
0.15 133 0.045932693035014
0.2 121 -0.00228230350236647
0.25 108 -0.06012662141195
0.3 108 -0.06012662141195
0.35 94 -0.0480257232663361
0.4 94 -0.0480257232663361
0.45 79 -0.0480257232663361
0.5 79 -0.0480257232663361
0.55 64 NA
0.6 48 NA
0.65 48 NA
0.7 32 NA
0.75 32 NA
0.8 16 NA
0.85 16 NA
0.9 0 NA
0.95 0 NA
0.99 0 NA
