Phylum Class Order Family Genus OTUs_completeDS OTUs_wholeDS
0.01 0.968504615925518 0.968449891788279 0.986640035332578 0.990814837976176 0.995303998448008 0.999081523877722 0.998334939363087
0.05 0.813636965293635 0.83134667212162 0.958074064008687 0.953317721912272 0.973598019845307 0.993666138844904 0.993700885834633
0.1 0.700225657290812 0.784309413047772 0.928798900038378 0.899001599456742 0.910864440706716 0.990398472095562 0.987516342480823
0.15 0.700225657290812 0.755584248870982 0.896391722664756 0.853849670100558 0.867635132893744 0.988028578634997 0.987033641698314
0.2 0.607346293720885 0.666245234863678 0.82373098494801 0.834187037634494 0.845611067628719 0.981480902776778 0.982519285598766
0.25 0.542649831854151 0.678368936623153 0.76754839299567 0.815322174529419 0.822011615269465 0.975320860071673 0.971181526197569
0.3 0.542649831854151 0.696915522349672 0.671506670748951 0.787971157237636 0.813101025481415 0.974183298824437 0.965471200825066
0.35 0.555345268719828 0.696915522349672 0.651522158904956 0.733346493363245 0.799978484461552 0.951593188321249 0.942311565472488
0.4 0.555345268719828 0.697152053043068 0.527050656586599 0.669812386765407 0.744424345278686 0.940076707649437 0.935347491827931
0.45 0.555345268719828 0.666479390262861 0.509223546992938 0.636470672599005 0.709652128195052 0.92185025840314 0.914073094205536
0.5 0.555345268719828 0.627223016587378 0.35940169992704 0.634225178156584 0.716149043391108 0.896556094832212 0.886042542565973
0.55 NA 0.54224582838197 0.401462496515246 0.603090529711174 0.656928156202242 0.886598940560923 0.87677186139617
0.6 NA NA 0.47691788089599 0.610188191000275 0.659281923171018 0.877137694683521 0.862492208955769
0.65 NA NA 0.47691788089599 0.496391966697148 0.660025946822709 0.841386148689919 0.827167332879876
0.7 NA NA NA 0.53032697431649 0.608149805920413 0.793039623493341 0.779383677808297
0.75 NA NA NA 0.551085329762763 0.69107476181316 0.736408154122909 0.728470620013178
0.8 NA NA NA 0.551085329762763 0.690571966906943 0.691872459253935 0.695110027162662
0.85 NA NA NA NA 0.288824654083204 0.614058852686509 0.619734389191299
0.9 NA NA NA NA NA 0.531105501266646 0.567579866496879
0.95 NA NA NA NA NA 0.204550048991974 0.211364119448809
0.99 NA NA NA NA NA NA NA
