Phylum Class Order Family Genus OTUs_completeDS OTUs_wholeDS
0.01 0.921109198283991 0.970310088864391 0.985375980374103 0.988398331817263 0.992033159962549 0.998867661902795 0.996896474246082
0.05 0.87305190741378 0.800483447203068 0.983113080442408 0.961602292768012 0.957071120353681 0.989122219037371 0.996452755653899
0.1 0.802628955858692 0.710295580519144 0.975288092057873 0.923894889047299 0.914518560624371 0.98986941063667 0.991292642492625
0.15 0.802628955858692 0.687732575967594 0.957250236629681 0.94033551728004 0.843211393507464 0.994015404858892 0.987354698061833
0.2 0.752855670591161 0.475989826756623 0.862500984809364 0.922778458159342 0.849944867064497 0.964678297807734 0.97126243722804
0.25 0.499639014244664 0.549923773393913 0.837908636457428 0.911950531550134 0.912205710336653 0.977760856354205 0.964834551736423
0.3 0.499639014244664 0.565081049432711 0.731012635906561 0.653923133307134 0.971715980502252 0.962739835521296 0.950831875110706
0.35 0.665202610225724 0.565081049432711 0.415817226440343 0.711093546404115 0.817980221768534 0.946000639976562 0.95573277383679
0.4 0.665202610225724 0.559400811433772 0.654039683982415 0.580138497961375 0.747863068198029 0.959897211434351 0.958085323502785
0.45 0.665202611279444 0.549896468190799 0.612469205231266 0.633196764293394 0.701552946105712 0.953523293356521 0.958980823396779
0.5 0.665202611279444 0.391494553575294 0.562102774427737 0.529451944149414 0.676199504510607 0.964105627674292 0.973965661619075
0.55 0.478489196298111 0.601096147044106 0.527971816877494 0.524782281576643 0.638822807089939 0.966895195977133 0.969853332232267
0.6 0.478489196298111 0.468813866928007 0.530577758762585 0.515910776739585 0.586353195776406 0.921991503306783 0.926496312693343
0.65 0.478489196298111 0.468813866928007 0.530577758452155 0.664750615319873 0.761303032921708 0.905918546668525 0.90739848378195
0.7 0.478489196298111 0.468813866928007 0.514784165983564 0.544363739563567 0.742789460187703 0.909402044355937 0.898479066778332
0.75 0.478489196298111 0.468813866928007 0.514784165983564 0.651638773859418 0.817364352762977 0.836018244287472 0.827401275870035
0.8 NA 0.468813866928007 0.514784165983564 0.651638775500241 0.745987968555989 0.849916977403838 0.850077197212007
0.85 NA 0.468813866928007 0.514784165983564 0.536847682803453 0.367673644164646 0.709507129862185 0.745290091497229
0.9 NA NA 0.514784165983564 0.536847682803453 0.557844847847233 0.509140894202603 0.636778483890203
0.95 NA NA NA NA 0.557844847847233 0.215880895026932 0.217331248249382
0.99 NA NA NA NA NA NA NA
