NUMERICSAM	EASTING	NORTHING	ALT	NAG	CBH	AG	BG	BXYL	PHOS	SOIL_H2O	TOTALPLN	TOTALDI	TOTALMON	SLOPE	ASPECT	CURVATURE	HILLSHADE	MeanSnowDe	TDN	MN	DOC	SAND	CLAY	SILT	DOC_N	MBC_N	MBCfuzzed	pH	AcidoGp1	AcidoGp3	AcidoGp4	AcidoGp7	Acidos	ActinAmyc	ActinRubro	Actinos	AProteoRhi	AProteoRho	Aproteo	BProteoBur	Bproteo	Dproteo	Proteo	Unclass	Cyanobacte	Nitrospira	ActinoOt	BacSphCren	BacSphFlex	BacOt	Bacteros	Gemmats	AProteOt	Gproteo	ProteOt	Porder	NChloroflexi	Nchloroplast	NOD1	NG7	NG8	NG12Delta	NG12T1034	NG13c	NG5	NG9	NBacSpheCren	 NGp16	NChloroGs	NCyanobacteria	NActinRubro	NAProtRhizo	NG6	NCyanobacteria	NAcidoGp3	NAcidoGp1	NG12	NAProtRhodo	NBacSphFlex_Cren	Niastella	G25	G15	G10
215	445126	4433628	3843.987061	3.015715226	8.268132647	1.046331148	21.19583023	1.10275755	37.78513111	2.040816327	41	13	28	33.642	104.269	-0.842041	64	234.996	5.469387755	2.31122449	31.54115839	86	12	2	5.766853586	94.57611907	142.056	4.51	5.952380952	2.380952381	0.595238095	2.380952381	11.30952381	3.571428571	1.19047619	5.357142857	2.380952381	5.357142857	8.928571429	2.976190476	4.166666667	4.166666667	44.64285714	24.4047619	3.571428571	0	0.595238095	1.19047619	5.952380952	2.976190476	10.11904762	4.761904762	1.19047619	0	27.38095238	24	0	1.785714286	0.595238095	2.380952381	0	8.928571429	5.952380951	0.595238095	1.785714286	0.595238095	3.571428571	0	0.595238095	1.785714286	1.19047619	2.380952381	4.166666667	3.571428571	2.380952381	5.952380952	14.88095238	6.547619048	4.166666667	2.976190476	0	0.714285714	0
245	445126	4433621	3842.454346	1.355264466	2.41324979	0.030895908	6.271614913	0.184333667	25.83299183	7.52688172	24	13	11	34.6942	100.645	-1.18433	63	248.508	3.625272488	0.185581375	23.24358137	60	17	23	6.411540496	1073.164529	172.278	4.27	6.557377049	3.278688525	4.098360656	6.557377049	23.7704918	1.639344262	0	1.639344262	2.459016393	0.819672131	5.737704918	6.557377049	10.6557377	3.278688525	31.14754098	18.03278689	9.016393443	0	0	0	9.016393443	6.557377049	15.57377049	2.459016393	2.459016393	2.459016393	9.016393443	28	0	0.819672131	0	0	0	0	2.459016393	0.819672131	2.459016393	0	1.639344262	0.819672131	0.819672131	10.6557377	0	2.459016393	0	11.47540984	3.278688525	6.557377049	2.459016393	0.819672131	0.819672131	0.819672131	0.302419355	0.403225806	0.504032258
291	445467	4433965	3893.772461	0.756013948	1.93977295	0.340383189	7.599705095	0.33422506	18.77448369	5.263157895	12	6	6	32.6187	173.046	0.0373535	75	65	4.221052632	3	19.52631579	66	17	17	4.625935162	30	88.574	4.04	3.896103896	7.792207792	1.298701299	0	12.98701299	6.493506494	0	10.38961039	1.298701299	9.090909091	12.98701299	0	0	0	40.25974026	27.27272727	0	0	3.896103896	0	0	2.597402597	2.597402597	0	2.597402597	0	27.27272727	29	1.298701299	0	0	3.896103896	2.597402597	1.298701299	2.597402597	1.298701299	1.298701299	2.597402597	1.298701299	5.194805195	2.597402597	0	0	1.298701299	10.38961039	0	7.792207792	3.896103896	3.896103896	15.58441558	0	0	1.052631579	0	0
296	445147	4433842	3886.41626	22.74620563	38.10059333	6.555723111	75.0516878	9.342238541	95.55220122	16.27906977	54	45	9	26.6199	142.974	-1.31128	81	65	13.51787359	14.76741443	81.27185726	62	18	21	6.012177635	8.311205314	122.735	4.45	1.204819277	3.614457831	1.204819277	0	8.43373494	6.024096386	3.614457831	12.04819277	6.024096386	1.204819277	10.84337349	3.614457831	4.819277108	2.409638554	32.53012048	20.48192771	8.43373494	0	2.409638554	3.614457831	7.228915663	2.409638554	13.25301205	6.024096386	3.614457831	2.409638554	12.04819277	30	0	6.024096386	3.614457831	0	0	0	0	3.614457831	0	2.409638554	3.614457831	0	3.614457831	2.409638554	3.614457831	7.228915663	2.409638554	8.43373494	3.614457831	1.204819277	0	3.614457831	4.819277108	1.204819277	0.975609756	0.487804878	1.463414634
298	445077	4433730	3882.361572	5.95060339	10.10358679	2.481657997	25.8366816	2.279954113	49.41924676	8.695652174	29	15	14	27.4725	121.421	-0.597656	79	132.896	9.874368435	8.675813643	48.34901439	64	18	18	4.896415878	14.4407332	125.285	4.49	10.30927835	3.092783505	3.092783505	5.154639175	21.64948454	2.06185567	2.06185567	5.154639175	2.06185567	2.06185567	7.216494845	11.34020619	12.37113402	2.06185567	26.80412371	22.68041237	8.24742268	0	1.030927835	0	1.030927835	5.154639175	6.18556701	4.12371134	3.092783505	0	5.154639175	31	0	1.030927835	2.06185567	0	0	0	7.216494845	3.092783505	1.030927835	1.030927835	2.06185567	0	3.092783505	7.216494845	2.06185567	2.06185567	0	8.24742268	3.092783505	10.30927835	7.216494845	4.12371134	0	0	1.265822785	0	1.265822785
299	445047	4433680	3885.400146	2.635901049	7.708875977	0.384706914	19.09805669	1.33112797	26.831274	8.695652174	0	0	0	27.7893	110.268	-0.638672	83	300.887	7.887461473	2.626670198	54.86241042	76	15	9	6.955648608	1.867817664	4.906	3.78	0	4.918032787	0	3.278688525	9.836065574	2.459016393	5.737704918	11.47540984	0.819672131	1.639344262	3.278688525	3.278688525	3.278688525	3.278688525	45.08196721	22.13114754	0	0	3.278688525	0	0	1.639344262	1.639344262	7.37704918	0.819672131	4.098360656	31.14754098	32	1.639344262	0	0.819672131	3.278688525	0.819672131	0	16.39344262	1.639344262	2.459016393	2.459016393	0.819672131	0.819672131	3.278688525	0	5.737704918	0.819672131	6.557377049	0	4.918032787	0	16.39344262	7.37704918	0	0	0	0.99009901	0
315	446764	4434305	3739.884766	1.271037499	1.453350292	0	5.762526431	0.136220456	9.162928166	7.52688172	11	5	6	22.1852	156.017	-0.276611	103	264.423	2.037634409	4.193548387	14.33870968	81	14	5	7.036939314	44.96923077	188.581	4.92	4.186046512	3.023255814	2.790697674	3.953488372	16.97674419	2.325581395	0.465116279	3.720930233	2.558139535	0.697674419	6.511627907	6.279069767	8.837209302	3.255813953	33.95348837	25.58139535	1.627906977	0.697674419	0.930232558	1.395348837	1.627906977	7.906976744	10.93023256	6.046511628	3.255813953	3.255813953	12.09302326	36	0.23255814	0.697674419	3.255813953	0.465116279	0.465116279	0	1.627906977	1.162790698	0	1.162790698	3.255813953	2.325581395	1.395348837	0.930232558	0.465116279	2.558139535	0	1.627906977	3.023255814	4.186046512	1.627906977	0.930232558	2.790697674	1.395348837	0	0	0
335	446763	4434298	3736.311279	2.666634595	4.907389125	0.481308837	7.35914893	1.197195207	19.75570858	3.092783505	7	5	2	23.3189	157.018	0.641357	99	261.252	6.273195876	3.025773196	30.95876289	79	14	7	4.935086278	78.44122658	55.387	4.24	2.941176471	3.921568627	4.901960784	6.862745098	19.60784314	1.960784314	1.960784314	3.921568627	0.980392157	3.921568627	7.843137255	2.941176471	4.901960784	2.941176471	31.37254902	22.54901961	7.843137255	0	0	0	0.980392157	3.921568627	4.901960784	7.843137255	2.941176471	2.941176471	12.74509804	39	2.941176471	0	0	1.960784314	1.960784314	0	3.921568627	1.960784314	0	0	2.941176471	0	4.901960784	7.843137255	1.960784314	0.980392157	0.980392157	7.843137255	3.921568627	2.941176471	3.921568627	8.823529412	0.980392157	0.980392157	0	1.041666667	2.083333333
393	445084	4433630	3863.168945	3.024287961	5.481984183	0.411686944	17.37984007	0.60201428	25.00858678	5.263157895	36	19	17	19.7066	93.5327	-0.450439	124	261.915	7.038971855	2.110534294	40.16918098	70	18	12	5.706682994	7.214140961	15.226	3.93	6.666666667	4	4	1.333333333	17.33333333	6.666666667	1.333333333	13.33333333	2.666666667	17.33333333	22.66666667	0	0	2.666666667	38.66666667	25.33333333	0	0	5.333333333	1.333333333	2.666666667	2.666666667	6.666666667	1.333333333	2.666666667	0	13.33333333	42	1.333333333	0	0	0	2.666666667	2.666666667	2.666666666	0	5.333333333	1.333333333	2.666666667	1.333333333	1.333333333	0	1.333333333	2.666666667	5.333333333	0	4	6.666666667	5.333333333	18.66666667	2.666666667	1.333333333	0	0	0
394	445092	4433687	3865.883545	1.513741107	2.181654938	0.803693193	7.993515328	0.496568334	15.02807812	3.092783505	0	0	0	21.6854	116.24	-0.39502	104	189.775	2.226521358	2.965357026	21.14618126	84	10	7	9.497407775	6.146325303	18.226	4.7	1.315789474	5.921052632	5.263157895	1.973684211	15.13157895	7.894736842	5.263157895	17.10526316	0.657894737	12.5	15.78947368	2.631578947	2.631578947	0	33.55263158	25	1.973684211	0	3.947368421	0.657894737	1.315789474	1.973684211	3.947368421	0.657894737	2.631578947	0	15.13157895	43	1.315789474	1.315789474	0	0.657894737	0	1.973684211	3.289473684	1.315789474	0	0.657894737	2.631578947	1.315789474	2.631578947	0.657894737	5.263157895	0.657894737	3.947368421	1.973684211	5.921052632	1.315789474	5.263157895	17.10526316	1.315789474	0.657894737	0	1.538461538	0
