WAYPOINT	EASTING	NORTHING	ALT	IDNUM	NAG	CBH	AG	BG	BXYL	PHOS	PHENOX	PEROX	DRYWEIGHT	SOIL_H2O	NUMERICSAM	ColorCode	SNOWDEPT
0	445129	4433624	3839.61499023000	84	3.48919222900	6.29580831500	1.21194910100	22.94935225000	2.00472350200	33.87966057000	0.00000000000	0.00000000000	0.96000000000	4.16666666700	20	2	225.58984375
0	446763	4434301	3734.76782227000	107	1.00854763400	3.03962761000	0.34355513700	4.81130022500	0.69430797100	15.60262890000	0.11444947000	0.43488452100	0.99000000000	1.01010101000	30	3	242.05686951
0	445044	4433684	3887.23999023000	76	7.45676997700	11.53764008000	0.92245726600	35.28486133000	2.29108856600	39.92029427000	0.79012384100	1.23555899300	0.91000000000	9.89010989000	115	1	279.26196289
0	445051	4433683	3887.23999023000	74	3.04518167900	4.74037613900	0.30129415500	12.20141679000	0.70428576500	30.10365037000	0.68822108900	2.39005924100	0.84000000000	19.04761905000	125	1	272.88534546
0	445051	4433677	3885.34204102000	79	3.25006758100	9.77570296100	0.67969736600	28.18812603000	1.84368945800	35.15752734000	0.16377101400	1.03696673200	0.94000000000	6.38297872300	135	1	285.12203979
0	445044	4433676	3885.34204102000	83	2.52999856100	5.69614421400	0.51547104100	15.33818347000	1.44553685200	42.70846922000	0.00000000000	0.40232180400	0.89000000000	12.35955056000	145	1	293.82745361
0	445055	4433533	3893.26196289000	1	32.68662119000	53.59751862000	7.15837608100	107.34818270000	12.33042663000	122.37042760000	0.27151433700	0.68384670800	0.93000000000	7.52688172000	191	0	333.87185669
0	445010	4433616	3900.18237305000	5	2.05905368900	7.46319552200	1.33259520000	22.17493073000	1.69714553500	40.53578354000	0.61160835200	0.07585569300	0.87000000000	14.94252874000	192	0	239.46377563
0	445012	4433682	3906.83349609000	6	5.51509854100	9.25638879800	0.87232565100	26.57876523000	1.59819248600	36.12099790000	0.00000000000	0.88252244100	0.90000000000	11.11111111000	193	0	310.84078979
0	445006	4433745	3928.50146484000	7	38.25890418000	45.43209172000	4.81429028700	79.23483853000	10.78944626000	94.32960706000	0.00000000000	0.42255184700	0.87000000000	14.94252874000	194	0	148.95747375
0	445040	4433817	3931.77001953000	8	1.85700368800	2.35252516800	0.55785332700	9.58446035700	1.03409066600	23.63387837000	0.00000000000	0.36629645000	0.94000000000	6.38297872300	195	0	74.45391846
0	445117	4433904	3938.12841797000	9	4.49378172000	7.27670946600	1.01012859900	17.54694957000	1.45106765000	26.07598923000	0.00000000000	0.11098349700	0.96000000000	4.16666666700	196	0	56.51211548
0	445185	4433921	3928.28027344000	10	2.55681642900	3.82059763000	0.44055510500	14.60221364000	0.78980715600	18.85803678000	0.00000000000	0.48811420200	0.99000000000	1.01010101000	197	0	97.14986420
0	445242	4433925	3905.53540039000	11	5.46493313200	9.12840716900	1.24134882500	35.53728243000	4.24903748100	59.56253965000	0.15462295400	0.35280533700	0.80000000000	25.00000000000	198	0	135.49183655
0	445301	4433948	3901.52001953000	12	7.35195885200	8.71565116600	1.48414055200	29.74136132000	1.66951853600	40.38486996000	0.00000000000	0.10780163100	0.95000000000	5.26315789500	199	0	221.78926086
0	445126	4433628	3841.46215820000	88	3.01571522600	8.26813264700	1.04633114800	21.19583023000	1.10275755000	37.78513111000	0.00000000000	1.07018954100	0.98000000000	2.04081632700	215	2	218.64921570
0	445132	4433627	3836.90234375000	86	13.75048967000	53.98376861000	5.60382756200	70.80351801000	8.14792352600	91.65521882000	0.32086889400	0.85852336800	0.98000000000	2.04081632700	225	2	215.50679016
